attack_type,start_time,duration,src,target,protocol,src_port,dst_port,spoofed,packet_cnt,total_bytes,bot_id,cnc_ip,cnc_port,measure_start,measure_end,Unnamed: 0
DP Attack,2024-06-17 12:23:52.750929,11814.42342,,192.168.122.0/24,dns,,,"yes,no",90,4292,87cb7390d0c0b5406898a0896752ccab8a41f187807bc85ae6e444e4a3627a28,80.91.223.3,6767.0,2024-06-17 12:23:30,2024-06-17 15:53:26,
DP Attack,2024-06-18 09:55:25.597626,10450.017716,,192.168.122.0/24,dns,,,"yes,no",54,2658,87cb7390d0c0b5406898a0896752ccab8a41f187807bc85ae6e444e4a3627a28,80.91.223.3,6767.0,2024-06-18 09:55:03,2024-06-18 12:52:47,
DP Attack,2024-06-18 15:46:13.521889,8242.384591,,192.168.122.1,dns,,,no,66,3168,87cb7390d0c0b5406898a0896752ccab8a41f187807bc85ae6e444e4a3627a28,80.91.223.3,6767.0,2024-06-18 15:46:04,2024-06-18 18:13:55,
DP Attack,2024-06-19 10:13:21.796381,6637.769382,,192.168.122.1,dns,,,no,54,2592,87cb7390d0c0b5406898a0896752ccab8a41f187807bc85ae6e444e4a3627a28,80.91.223.3,6767.0,2024-06-19 10:13:11,2024-06-19 12:14:56,
DP Attack,2024-06-20 10:39:10.054462,4089.755651,,192.168.122.1,dns,,,no,36,1728,87cb7390d0c0b5406898a0896752ccab8a41f187807bc85ae6e444e4a3627a28,80.91.223.3,6767.0,2024-06-20 10:38:59,2024-06-20 11:51:46,
DP Attack,2024-06-20 14:36:53.173224,5524.441862,,192.168.122.1,dns,,,no,42,2016,87cb7390d0c0b5406898a0896752ccab8a41f187807bc85ae6e444e4a3627a28,80.91.223.3,6767.0,2024-06-20 14:36:38,2024-06-20 16:21:56,
DP Attack,2024-06-17 10:44:44.630238,59.999858,,195.181.175.131,dns,,,no,3690,3890827,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-17 10:34:47,2024-06-17 10:48:03,
DP Attack,2024-06-17 12:34:10.612168,59.989574,,195.181.175.131,dns,,,no,2940,3102207,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-17 12:23:16,2024-06-17 12:45:26,
DP Attack,2024-06-17 12:38:20.697047,47.090784,,136.244.117.37,udp,,,no,2622,2033845,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-17 12:23:16,2024-06-17 12:45:26,
DP Attack,2024-06-17 14:02:36.555025,436.000404,,135.148.25.152,"udp,tcp",,,no,2718,286628,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-17 12:52:26,2024-06-17 15:53:43,
