ip,port,is_new,packet_cnt,total_bytes,syn_cnt,fin_cnt,rst_cnt,start_time,end_time,measure_start,measure_end,bot_id,duration,attemp_start,is_cnc,Unnamed: 0
80.91.223.3,6767,no,687,0,576,0,111,2024-06-17 11:55:30.781080,2024-06-17 12:21:52.332508,2024-06-17 11:55:14,2024-06-17 12:21:53,87cb7390,1581.551428,0 days 00:00:16.781080,True,
80.91.223.3,6767,no,5671,0,4563,0,1108,2024-06-17 12:23:49.623344,2024-06-17 15:53:24.809373,2024-06-17 12:23:30,2024-06-17 15:53:26,87cb7390,12575.186029,0 days 00:00:19.623344,True,
80.91.223.3,6767,no,4748,0,3805,0,943,2024-06-18 09:55:26.550963,2024-06-18 12:52:46.868256,2024-06-18 09:55:03,2024-06-18 12:52:47,87cb7390,10640.317293,0 days 00:00:23.550963,True,
80.91.223.3,6767,no,231,0,211,0,20,2024-06-18 15:32:20.466543,2024-06-18 15:41:56.144005,2024-06-18 15:32:07,2024-06-18 15:41:59,87cb7390,575.677462,0 days 00:00:13.466543,True,
80.91.223.3,6767,no,3861,0,2967,0,894,2024-06-18 15:46:10.395810,2024-06-18 18:13:54.411893,2024-06-18 15:46:04,2024-06-18 18:13:55,87cb7390,8864.016083,0 days 00:00:06.395810,True,
80.91.223.3,6767,no,3276,0,2648,0,628,2024-06-19 10:13:20.654146,2024-06-19 12:14:54.966494,2024-06-19 10:13:11,2024-06-19 12:14:56,87cb7390,7294.312348,0 days 00:00:09.654146,True,
80.91.223.3,6767,no,1729,0,1407,0,322,2024-06-20 10:39:11.861290,2024-06-20 11:51:45.312566,2024-06-20 10:38:59,2024-06-20 11:51:46,87cb7390,4353.451276,0 days 00:00:12.861290,True,
80.91.223.3,6767,no,2008,0,1626,0,382,2024-06-20 14:36:54.143726,2024-06-20 16:21:53.612047,2024-06-20 14:36:38,2024-06-20 16:21:56,87cb7390,6299.468321,0 days 00:00:16.143726,True,
80.91.223.3,6767,no,1307,0,1071,0,236,2024-06-21 09:33:36.275239,2024-06-21 10:22:38.740579,2024-06-21 09:33:15,2024-06-21 10:22:37,87cb7390,2942.46534,0 days 00:00:21.275239,True,
94.156.10.24,33335,no,201,123,105,0,0,2024-06-17 10:35:00.093967,2024-06-17 10:47:58.388866,2024-06-17 10:34:47,2024-06-17 10:48:03,114187eb,778.294899,0 days 00:00:13.093967,True,
94.156.10.24,33335,no,291,287,107,0,0,2024-06-17 12:23:29.617508,2024-06-17 12:44:58.546495,2024-06-17 12:23:16,2024-06-17 12:45:26,114187eb,1288.928987,0 days 00:00:13.617508,True,
94.156.10.24,33335,no,1973,3417,103,0,0,2024-06-17 12:52:40.589364,2024-06-17 15:53:34.498065,2024-06-17 12:52:26,2024-06-17 15:53:43,114187eb,10853.908701,0 days 00:00:14.589364,True,
94.156.10.24,33335,no,1656,2446,106,0,2,2024-06-18 09:55:04.476611,2024-06-18 12:52:25.438268,2024-06-18 09:54:46,2024-06-18 12:53:21,114187eb,10640.961657,0 days 00:00:18.476611,True,
94.156.10.24,33335,no,194,152,100,0,0,2024-06-18 15:31:56.580496,2024-06-18 15:42:01.407683,2024-06-18 15:31:39,2024-06-18 15:42:05,114187eb,604.827187,0 days 00:00:17.580496,True,
94.156.10.24,33335,no,1617,2208,103,0,1,2024-06-18 15:45:47.743324,2024-06-18 18:13:29.399476,2024-06-18 15:45:31,2024-06-18 18:14:00,114187eb,8861.656152,0 days 00:00:16.743324,True,
94.156.10.24,33335,no,1319,1791,101,0,0,2024-06-19 10:12:51.064274,2024-06-19 12:14:38.673432,2024-06-19 10:12:33,2024-06-19 12:15:05,114187eb,7307.609158,0 days 00:00:18.064274,True,
152.89.244.142,33335,no,2200,3508,100,0,0,2024-06-20 10:38:36.049979,2024-06-20 14:07:57.855084,2024-06-20 10:38:14,2024-06-20 14:08:10,114187eb,12561.805105,0 days 00:00:22.049979,True,
51.81.243.140,22,yes,120,0,120,0,0,2024-06-20 10:47:27.956198,2024-06-20 10:47:37.187283,2024-06-20 10:38:14,2024-06-20 14:08:10,114187eb,9.231085,0 days 00:09:13.956198,False,
144.217.111.246,1194,yes,384,0,384,0,0,2024-06-20 10:54:46.898926,2024-06-20 10:55:19.907269,2024-06-20 10:38:14,2024-06-20 14:08:10,114187eb,33.008343,0 days 00:16:32.898926,False,
152.89.244.142,33335,no,2810,3940,104,0,3,2024-06-21 09:32:47.607093,2024-06-21 14:29:08.968746,2024-06-21 09:32:31,2024-06-21 14:29:14,114187eb,17781.361653,0 days 00:00:16.607093,True,
152.89.244.142,33335,no,1046,1108,100,0,0,2024-06-21 14:39:33.355184,2024-06-21 16:16:15.268065,2024-06-21 14:39:10,2024-06-21 16:16:16,114187eb,5801.912881,0 days 00:00:23.355184,True,
152.89.244.142,33335,no,2789,3961,106,0,0,2024-06-22 10:05:38.741589,2024-06-22 14:38:32.222302,2024-06-22 10:05:26,2024-06-22 14:38:42,114187eb,16373.480713,0 days 00:00:12.741589,True,
152.89.244.142,33335,no,1997,4459,99,0,0,2024-06-22 14:59:17.704047,2024-06-22 17:51:04.662067,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,10306.95802,0 days 00:00:23.704047,True,
212.102.40.182,22,yes,2,1360,2,0,0,2024-06-22 16:14:31.705225,2024-06-22 16:14:31.710699,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,0.005474,0 days 01:15:37.705225,False,
154.64.245.126,9884,yes,2,0,2,0,0,2024-06-22 17:44:56.726388,2024-06-22 17:44:59.727086,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,3.000698,0 days 02:46:02.726388,False,
154.64.245.126,30871,yes,2,0,2,0,0,2024-06-22 17:44:56.736972,2024-06-22 17:45:40.715325,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,43.978353,0 days 02:46:02.736972,False,
154.64.245.126,10281,yes,2,0,2,0,0,2024-06-22 17:44:56.770736,2024-06-22 17:45:20.724887,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,23.954151,0 days 02:46:02.770736,False,
154.64.245.126,32651,yes,2,0,2,0,0,2024-06-22 17:44:56.800172,2024-06-22 17:45:05.800559,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,9.000387,0 days 02:46:02.800172,False,
154.64.245.126,62705,yes,2,0,2,0,0,2024-06-22 17:44:56.842658,2024-06-22 17:45:23.836394,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,26.993736,0 days 02:46:02.842658,False,
154.64.245.126,58640,yes,2,0,2,0,0,2024-06-22 17:44:56.849411,2024-06-22 17:45:36.754142,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,39.904731,0 days 02:46:02.849411,False,
154.64.245.126,48214,yes,2,0,2,0,0,2024-06-22 17:44:57.677354,2024-06-22 17:45:22.837613,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,25.160259,0 days 02:46:03.677354,False,
154.64.245.126,33140,yes,2,0,2,0,0,2024-06-22 17:44:57.834252,2024-06-22 17:45:04.776791,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,6.942539,0 days 02:46:03.834252,False,
154.64.245.126,20550,yes,2,0,2,0,0,2024-06-22 17:44:57.841515,2024-06-22 17:45:35.704199,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,37.862684,0 days 02:46:03.841515,False,
154.64.245.126,38727,yes,2,0,2,0,0,2024-06-22 17:44:58.831159,2024-06-22 17:45:23.765622,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,24.934463,0 days 02:46:04.831159,False,
154.64.245.126,40216,yes,2,0,2,0,0,2024-06-22 17:44:59.739524,2024-06-22 17:45:22.812812,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,23.073288,0 days 02:46:05.739524,False,
154.64.245.126,44741,yes,2,0,2,0,0,2024-06-22 17:44:59.784877,2024-06-22 17:45:51.703096,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,51.918219,0 days 02:46:05.784877,False,
154.64.245.126,49288,yes,2,0,2,0,0,2024-06-22 17:44:59.800168,2024-06-22 17:45:35.689540,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,35.889372,0 days 02:46:05.800168,False,
154.64.245.126,23100,yes,2,0,2,0,0,2024-06-22 17:44:59.843797,2024-06-22 17:45:31.796061,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,31.952264,0 days 02:46:05.843797,False,
154.64.245.126,26559,yes,2,0,2,0,0,2024-06-22 17:45:00.799741,2024-06-22 17:45:11.850774,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,11.051033,0 days 02:46:06.799741,False,
154.64.245.126,47066,yes,2,0,2,0,0,2024-06-22 17:45:01.694452,2024-06-22 17:45:54.688295,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,52.993843,0 days 02:46:07.694452,False,
154.64.245.126,57714,yes,2,0,2,0,0,2024-06-22 17:45:01.843399,2024-06-22 17:45:34.684589,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,32.84119,0 days 02:46:07.843399,False,
154.64.245.126,23135,yes,2,0,2,0,0,2024-06-22 17:45:02.722946,2024-06-22 17:45:18.849735,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,16.126789,0 days 02:46:08.722946,False,
154.64.245.126,7465,yes,2,0,2,0,0,2024-06-22 17:45:03.694277,2024-06-22 17:45:14.859164,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,11.164887,0 days 02:46:09.694277,False,
154.64.245.126,64182,yes,2,0,2,0,0,2024-06-22 17:45:03.713132,2024-06-22 17:45:44.752568,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,41.039436,0 days 02:46:09.713132,False,
154.64.245.126,61270,yes,2,0,2,0,0,2024-06-22 17:45:04.662614,2024-06-22 17:45:44.737997,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,40.075383,0 days 02:46:10.662614,False,
154.64.245.126,51065,yes,2,0,2,0,0,2024-06-22 17:45:04.693509,2024-06-22 17:45:44.809610,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,40.116101,0 days 02:46:10.693509,False,
154.64.245.126,54042,yes,2,0,2,0,0,2024-06-22 17:45:04.846900,2024-06-22 17:45:14.776670,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,9.92977,0 days 02:46:10.846900,False,
154.64.245.126,35345,yes,2,0,2,0,0,2024-06-22 17:45:05.699817,2024-06-22 17:45:53.739436,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,48.039619,0 days 02:46:11.699817,False,
154.64.245.126,43701,yes,2,0,2,0,0,2024-06-22 17:45:05.804159,2024-06-22 17:45:21.757012,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,15.952853,0 days 02:46:11.804159,False,
154.64.245.126,23247,yes,2,0,2,0,0,2024-06-22 17:45:05.840846,2024-06-22 17:45:49.713940,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,43.873094,0 days 02:46:11.840846,False,
154.64.245.126,47771,yes,2,0,2,0,0,2024-06-22 17:45:06.697431,2024-06-22 17:45:33.774512,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,27.077081,0 days 02:46:12.697431,False,
154.64.245.126,23455,yes,2,0,2,0,0,2024-06-22 17:45:06.725856,2024-06-22 17:45:23.743904,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,17.018048,0 days 02:46:12.725856,False,
154.64.245.126,58333,yes,2,0,2,0,0,2024-06-22 17:45:07.862301,2024-06-22 17:45:47.838453,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,39.976152,0 days 02:46:13.862301,False,
154.64.245.126,58863,yes,2,0,2,0,0,2024-06-22 17:45:08.752614,2024-06-22 17:45:54.809859,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,46.057245,0 days 02:46:14.752614,False,
154.64.245.126,56269,yes,2,0,2,0,0,2024-06-22 17:45:11.674995,2024-06-22 17:45:21.684724,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,10.009729,0 days 02:46:17.674995,False,
154.64.245.126,57655,yes,2,0,2,0,0,2024-06-22 17:45:12.734772,2024-06-22 17:45:14.836988,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,2.102216,0 days 02:46:18.734772,False,
154.64.245.126,43719,yes,2,0,2,0,0,2024-06-22 17:45:14.765323,2024-06-22 17:45:26.704003,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,11.93868,0 days 02:46:20.765323,False,
154.64.245.126,35312,yes,2,0,2,0,0,2024-06-22 17:45:14.767539,2024-06-22 17:45:31.747076,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,16.979537,0 days 02:46:20.767539,False,
154.64.245.126,30882,yes,2,0,2,0,0,2024-06-22 17:45:15.680803,2024-06-22 17:45:47.740297,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,32.059494,0 days 02:46:21.680803,False,
154.64.245.126,17479,yes,2,0,2,0,0,2024-06-22 17:45:15.856421,2024-06-22 17:45:53.775824,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,37.919403,0 days 02:46:21.856421,False,
154.64.245.126,42763,yes,2,0,2,0,0,2024-06-22 17:45:18.799067,2024-06-22 17:45:22.713672,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,3.914605,0 days 02:46:24.799067,False,
154.64.245.126,6554,yes,2,0,2,0,0,2024-06-22 17:45:19.680740,2024-06-22 17:45:54.780325,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,35.099585,0 days 02:46:25.680740,False,
154.64.245.126,19831,yes,2,0,2,0,0,2024-06-22 17:45:19.809823,2024-06-22 17:45:50.833482,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,31.023659,0 days 02:46:25.809823,False,
154.64.245.126,54066,yes,2,0,2,0,0,2024-06-22 17:45:19.847049,2024-06-22 17:45:21.842155,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,1.995106,0 days 02:46:25.847049,False,
154.64.245.126,61433,yes,2,0,2,0,0,2024-06-22 17:45:21.692113,2024-06-22 17:45:35.727334,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,14.035221,0 days 02:46:27.692113,False,
154.64.245.126,10918,yes,2,0,2,0,0,2024-06-22 17:45:21.713508,2024-06-22 17:45:26.740520,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,5.027012,0 days 02:46:27.713508,False,
154.64.245.126,21963,yes,2,0,2,0,0,2024-06-22 17:45:21.790885,2024-06-22 17:45:45.695170,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,23.904285,0 days 02:46:27.790885,False,
154.64.245.126,64510,yes,2,0,2,0,0,2024-06-22 17:45:23.690626,2024-06-22 17:45:34.731001,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,11.040375,0 days 02:46:29.690626,False,
154.64.245.126,59047,yes,2,0,2,0,0,2024-06-22 17:45:23.718415,2024-06-22 17:45:49.806912,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,26.088497,0 days 02:46:29.718415,False,
154.64.245.126,64459,yes,2,0,2,0,0,2024-06-22 17:45:23.861413,2024-06-22 17:45:31.763665,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,7.902252,0 days 02:46:29.861413,False,
154.64.245.126,14758,yes,2,0,2,0,0,2024-06-22 17:45:24.774674,2024-06-22 17:45:32.840586,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,8.065912,0 days 02:46:30.774674,False,
154.64.245.126,5899,yes,2,0,2,0,0,2024-06-22 17:45:25.751617,2024-06-22 17:45:37.756859,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,12.005242,0 days 02:46:31.751617,False,
154.64.245.126,40410,yes,2,0,2,0,0,2024-06-22 17:45:25.848861,2024-06-22 17:45:34.831097,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,8.982236,0 days 02:46:31.848861,False,
154.64.245.126,63211,yes,2,0,2,0,0,2024-06-22 17:45:26.836602,2024-06-22 17:45:34.844118,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,8.007516,0 days 02:46:32.836602,False,
154.64.245.126,24446,yes,2,0,2,0,0,2024-06-22 17:45:29.765001,2024-06-22 17:45:43.771080,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,14.006079,0 days 02:46:35.765001,False,
154.64.245.126,42278,yes,2,0,2,0,0,2024-06-22 17:45:29.860904,2024-06-22 17:45:31.714419,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,1.853515,0 days 02:46:35.860904,False,
154.64.245.126,47894,yes,2,0,2,0,0,2024-06-22 17:45:30.671406,2024-06-22 17:45:51.661452,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,20.990046,0 days 02:46:36.671406,False,
154.64.245.126,38724,yes,2,0,2,0,0,2024-06-22 17:45:31.679663,2024-06-22 17:45:31.727145,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,0.047482,0 days 02:46:37.679663,False,
154.64.245.126,47285,yes,2,0,2,0,0,2024-06-22 17:45:31.798378,2024-06-22 17:45:50.794080,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,18.995702,0 days 02:46:37.798378,False,
154.64.245.126,25679,yes,2,0,2,0,0,2024-06-22 17:45:31.808018,2024-06-22 17:45:54.821210,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,23.013192,0 days 02:46:37.808018,False,
154.64.245.126,38887,yes,2,0,2,0,0,2024-06-22 17:45:32.788358,2024-06-22 17:45:46.856071,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,14.067713,0 days 02:46:38.788358,False,
154.64.245.126,8236,yes,2,0,2,0,0,2024-06-22 17:45:34.795544,2024-06-22 17:45:42.684364,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,7.88882,0 days 02:46:40.795544,False,
154.64.245.126,9079,yes,2,0,2,0,0,2024-06-22 17:45:35.815944,2024-06-22 17:45:38.855280,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,3.039336,0 days 02:46:41.815944,False,
154.64.245.126,46345,yes,2,0,2,0,0,2024-06-22 17:45:37.693503,2024-06-22 17:45:45.789855,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,8.096352,0 days 02:46:43.693503,False,
154.64.245.126,6218,yes,2,0,2,0,0,2024-06-22 17:45:37.734464,2024-06-22 17:45:40.799602,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,3.065138,0 days 02:46:43.734464,False,
154.64.245.126,33777,yes,2,0,2,0,0,2024-06-22 17:45:37.742019,2024-06-22 17:45:39.722589,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,1.98057,0 days 02:46:43.742019,False,
154.64.245.126,35515,yes,2,0,2,0,0,2024-06-22 17:45:38.787372,2024-06-22 17:45:47.845822,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,9.05845,0 days 02:46:44.787372,False,
154.64.245.126,39755,yes,2,0,2,0,0,2024-06-22 17:45:39.734533,2024-06-22 17:45:42.851605,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,3.117072,0 days 02:46:45.734533,False,
154.64.245.126,50922,yes,2,0,2,0,0,2024-06-22 17:45:39.767462,2024-06-22 17:45:46.784923,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,7.017461,0 days 02:46:45.767462,False,
154.64.245.126,52332,yes,2,0,2,0,0,2024-06-22 17:45:39.789996,2024-06-22 17:45:49.686683,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,9.896687,0 days 02:46:45.789996,False,
154.64.245.126,10589,yes,2,0,2,0,0,2024-06-22 17:45:42.765339,2024-06-22 17:45:49.754063,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,6.988724,0 days 02:46:48.765339,False,
154.64.245.126,11640,yes,2,0,2,0,0,2024-06-22 17:45:50.817994,2024-06-22 17:45:54.691688,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,3.873694,0 days 02:46:56.817994,False,
152.89.244.142,33335,no,2101,3814,117,0,11,2024-06-22 18:42:31.667810,2024-06-22 21:40:52.653252,2024-06-22 18:42:12,2024-06-22 21:40:53,114187eb,10700.985442,0 days 00:00:19.667810,True,
27.25.151.54,80,yes,4,2720,4,0,0,2024-06-22 19:22:36.659173,2024-06-22 19:22:36.671530,2024-06-22 18:42:12,2024-06-22 21:40:53,114187eb,0.012357,0 days 00:40:24.659173,False,
