ip,port,bot_id,domain,asn,location
103.82.193.149,12345,e9626f6bf01fc7430783fc05e76a8acae124bbadcc7fb7aa900c91e60fe76337,,0,
82.153.68.38,3778,03573b20c3ed921d4bf8d36999eee01d6f739857aa3a0e0e71c8a78459f2e189,,0,
93.123.85.119,4258,571f149f9c414e15686d6e04493926866588a8652b9f0832a33aa308850c0b66,,0,
150.29.0.0,49376,e296143245fd02f317dd8224c17c3f51278b26f1e4803d9075a83cd2153d36eb,,0,
94.156.10.24,33335,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,pty.su,0,
217.32.184.17,23,6e00e8d4b05f763ea83679c9ba7d116beaa34a6db1ded45a77dc733d4d169ca1,,0,
80.91.223.3,6767,87cb7390d0c0b5406898a0896752ccab8a41f187807bc85ae6e444e4a3627a28,,0,
161.168.243.236,37215,361cd32a750b89857322f54b665f7f8849407ba09074e6303be0f26a351f39b5,,0,
196.138.52.29,37215,6fdf5b4b08a5894339c26249e190ce627b9585af846573098bed2c050d0ae80b,,0,
45.131.111.98,33966,a25372d1a7ffb4a98751b5d20b4f272f04c75a523c8dc600062852ac7e619fa5,raw.kovey-net.ru,0,
45.131.111.98,33966,a25372d1a7ffb4a98751b5d20b4f272f04c75a523c8dc600062852ac7e619fa5,raw.kovey-net.ru,0,
197.127.51.165,37215,d2053d4c1f448d774aa6f7f0d36ee486a9801218a3b654e71726a46028b2bb46,,0,
142.250.74.228,443,c087ad31ad5f4454500c43fda6952839fbc640afe1acf49c90a2413102d8fb07,,0,
147.78.103.231,33966,33f9236e4e40e3bbda2aa811ad6a2a0d081b9b151b9c3b41f3844a82fbffef17,raw.theeye.cc,0,
45.95.169.138,322,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,,0,
62.115.0.0,49376,e296143245fd02f317dd8224c17c3f51278b26f1e4803d9075a83cd2153d36eb,,0,
103.82.38.94,4554,2a80f1107c3a480db9b95e345e82bb0949165c323248308a2bff892e28824af5,,0,
45.131.111.98,1312,19a6d211adfa41d815d800f6c7849983fd6543cc178f4d048a3a615c4c8ea521,raw.kovey-net.ru,0,
45.131.111.98,1312,19a6d211adfa41d815d800f6c7849983fd6543cc178f4d048a3a615c4c8ea521,raw.kovey-net.ru,0,
103.167.88.191,43957,dd1b3e859dabe893249b1084e998bdd90537a3451df527a46ecea958e15c10f8,bot.abcproxy.click,0,
62.115.0.0,46852,e296143245fd02f317dd8224c17c3f51278b26f1e4803d9075a83cd2153d36eb,,0,
192.224.0.0,32876,e296143245fd02f317dd8224c17c3f51278b26f1e4803d9075a83cd2153d36eb,,0,
146.185.209.82,47925,12d7da7f77aab771ffff6dd614209815565ee9f292e8b97854fa4af67b9ac291,seyfhg.work.gd,0,
181.206.243.44,81,6b941c86a99c49e726daf25a054e4c006cbd190895ff917872d7bee9684e0a38,,0,
84.54.51.29,606,5dbaeaca0ef761fb1dd231fa9dd10bf8d8aa6b82e668d161f0b74b55e0abaa67,,0,
93.123.85.37,8888,e87d52ee2a88699f99b66d065cda7054de5f1aff8312671a5aab377b626dcef8,,0,
108.3.0.0,54123,e296143245fd02f317dd8224c17c3f51278b26f1e4803d9075a83cd2153d36eb,,0,
157.221.55.20,37215,682895d669c00cb40171dccf95804c26d0f621003a1cc92425285ca42d385ae7,,0,
154.204.178.164,61189,8260e2819d2c243f3b7ee643c88975b68275fe6df5656c0f783a4c558331a955,botnet.91av.live,0,
45.87.247.120,4258,2d31c76a18e23acc7d289cdd2822fc4fbca0682691f1d1482074e11a28a153d1,,0,
152.89.244.142,33335,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,pty.su,0,
164.77.0.0,23789,e296143245fd02f317dd8224c17c3f51278b26f1e4803d9075a83cd2153d36eb,,0,
194.55.186.47,33966,a25372d1a7ffb4a98751b5d20b4f272f04c75a523c8dc600062852ac7e619fa5,raw.kovey-net.ru,0,
194.55.186.47,33966,a25372d1a7ffb4a98751b5d20b4f272f04c75a523c8dc600062852ac7e619fa5,raw.kovey-net.ru,0,
194.55.186.47,1312,19a6d211adfa41d815d800f6c7849983fd6543cc178f4d048a3a615c4c8ea521,raw.kovey-net.ru,0,
194.55.186.47,1312,19a6d211adfa41d815d800f6c7849983fd6543cc178f4d048a3a615c4c8ea521,raw.kovey-net.ru,0,
108.3.0.0,15987,e296143245fd02f317dd8224c17c3f51278b26f1e4803d9075a83cd2153d36eb,,0,
