ip,port,measure_start,measure_end,bot_id
94.156.10.24,33335,2024-06-17 10:34:47,2024-06-17 10:48:03,114187eb
94.156.10.24,33335,2024-06-17 12:23:16,2024-06-17 12:45:26,114187eb
94.156.10.24,33335,2024-06-17 12:52:26,2024-06-17 15:53:43,114187eb
94.156.10.24,33335,2024-06-18 09:54:46,2024-06-18 12:53:21,114187eb
94.156.10.24,33335,2024-06-18 15:31:39,2024-06-18 15:42:05,114187eb
94.156.10.24,33335,2024-06-18 15:45:31,2024-06-18 18:14:00,114187eb
94.156.10.24,33335,2024-06-19 10:12:33,2024-06-19 12:15:05,114187eb
152.89.244.142,33335,2024-06-20 10:38:14,2024-06-20 14:08:10,114187eb
152.89.244.142,33335,2024-06-21 09:32:31,2024-06-21 14:29:14,114187eb
152.89.244.142,33335,2024-06-21 14:39:10,2024-06-21 16:16:16,114187eb
152.89.244.142,33335,2024-06-22 10:05:26,2024-06-22 14:38:42,114187eb
152.89.244.142,33335,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb
152.89.244.142,33335,2024-06-22 18:42:12,2024-06-22 21:40:53,114187eb
152.89.244.142,33335,2024-06-23 09:17:10,2024-06-23 16:58:45,114187eb
152.89.244.142,33335,2024-06-24 10:01:33,2024-06-24 15:19:22,114187eb
152.89.244.142,33335,2024-06-24 15:20:30,2024-06-24 21:41:13,114187eb
152.89.244.142,33335,2024-06-25 09:47:50,2024-06-25 13:53:20,114187eb
152.89.244.142,33335,2024-06-26 09:45:31,2024-06-26 16:12:18,114187eb
152.89.244.142,33335,2024-06-26 17:42:18,2024-06-26 22:59:19,114187eb
152.89.244.142,33335,2024-06-27 10:02:09,2024-06-27 16:02:24,114187eb
152.89.244.142,33335,2024-06-27 17:57:31,2024-06-27 21:59:42,114187eb
152.89.244.142,33335,2024-06-28 09:35:23,2024-06-28 15:47:21,114187eb
152.89.244.142,33335,2024-06-28 16:10:01,2024-06-28 19:57:59,114187eb
45.131.111.98,33966,2024-06-17 11:56:00,2024-06-17 12:21:54,a25372d1
45.131.111.98,33966,2024-06-17 12:23:46,2024-06-17 15:53:28,a25372d1
45.131.111.98,33966,2024-06-18 09:55:23,2024-06-18 12:52:48,a25372d1
45.131.111.98,33966,2024-06-18 15:32:10,2024-06-18 15:42:03,a25372d1
45.131.111.98,33966,2024-06-18 15:46:04,2024-06-18 18:13:47,a25372d1
45.131.111.98,33966,2024-06-19 10:13:14,2024-06-19 12:14:59,a25372d1
45.131.111.98,33966,2024-06-19 13:02:31,2024-06-19 15:09:36,a25372d1
194.55.186.47,33966,2024-06-20 10:38:48,2024-06-20 11:51:54,a25372d1
194.55.186.47,33966,2024-06-20 14:36:51,2024-06-20 16:22:38,a25372d1
194.55.186.47,33966,2024-06-21 09:33:15,2024-06-21 14:29:16,a25372d1
194.55.186.47,33966,2024-06-21 14:39:44,2024-06-21 16:16:15,a25372d1
194.55.186.47,33966,2024-06-22 10:05:50,2024-06-22 14:38:42,a25372d1
194.55.186.47,33966,2024-06-22 14:59:12,2024-06-22 18:37:56,a25372d1
194.55.186.47,33966,2024-06-22 18:42:25,2024-06-22 21:44:07,a25372d1
194.55.186.47,33966,2024-06-23 09:17:43,2024-06-23 16:57:57,a25372d1
194.55.186.47,33966,2024-06-24 10:01:41,2024-06-24 15:19:22,a25372d1
194.55.186.47,33966,2024-06-24 15:20:58,2024-06-24 21:41:06,a25372d1
194.55.186.47,33966,2024-06-25 09:47:55,2024-06-25 21:34:40,a25372d1
194.55.186.47,33966,2024-06-26 09:46:02,2024-06-26 16:12:17,a25372d1
194.55.186.47,33966,2024-06-26 17:42:20,2024-06-26 22:59:16,a25372d1
194.55.186.47,33966,2024-06-27 10:02:14,2024-06-27 16:02:08,a25372d1
194.55.186.47,33966,2024-06-27 17:57:41,2024-06-27 21:59:47,a25372d1
194.55.186.47,33966,2024-06-28 09:35:39,2024-06-28 15:47:25,a25372d1
194.55.186.47,33966,2024-06-28 16:10:19,2024-06-28 19:57:57,a25372d1
142.250.74.228,443,2024-06-17 12:23:23,2024-06-17 15:53:42,c087ad31
142.250.74.228,443,2024-06-21 14:39:26,2024-06-21 16:16:14,c087ad31
142.250.74.228,443,2024-06-22 10:05:48,2024-06-22 14:38:45,c087ad31
147.78.103.231,33966,2024-06-18 15:31:53,2024-06-18 15:42:00,33f9236e
147.78.103.231,33966,2024-06-18 15:45:39,2024-06-18 18:13:54,33f9236e
147.78.103.231,33966,2024-06-19 10:12:44,2024-06-19 12:14:56,33f9236e
147.78.103.231,33966,2024-06-19 13:02:23,2024-06-19 15:09:29,33f9236e
45.95.169.138,322,2024-06-17 11:55:32,2024-06-17 12:22:01,a9ce0201
45.95.169.138,322,2024-06-17 12:23:23,2024-06-17 15:53:41,a9ce0201
45.95.169.138,322,2024-06-18 09:54:52,2024-06-18 12:52:51,a9ce0201
45.95.169.138,322,2024-06-18 15:31:55,2024-06-18 15:42:01,a9ce0201
45.95.169.138,322,2024-06-18 15:45:36,2024-06-18 18:13:47,a9ce0201
45.95.169.138,322,2024-06-19 10:12:46,2024-06-19 12:15:02,a9ce0201
45.95.169.138,322,2024-06-19 13:02:24,2024-06-19 15:09:29,a9ce0201
45.95.169.138,322,2024-06-20 10:38:31,2024-06-20 14:08:11,a9ce0201
45.95.169.138,322,2024-06-20 14:36:37,2024-06-20 16:23:41,a9ce0201
45.95.169.138,322,2024-06-21 09:32:43,2024-06-21 14:29:12,a9ce0201
45.95.169.138,322,2024-06-21 14:39:26,2024-06-21 16:16:17,a9ce0201
45.95.169.138,322,2024-06-22 10:05:48,2024-06-22 14:38:41,a9ce0201
45.95.169.138,322,2024-06-22 14:59:09,2024-06-22 18:37:54,a9ce0201
45.95.169.138,322,2024-06-22 18:42:25,2024-06-22 21:44:12,a9ce0201
45.95.169.138,322,2024-06-23 09:17:10,2024-06-23 16:58:55,a9ce0201
45.95.169.138,322,2024-06-24 10:01:37,2024-06-24 15:19:27,a9ce0201
45.95.169.138,322,2024-06-24 15:20:44,2024-06-24 21:41:11,a9ce0201
45.95.169.138,322,2024-06-25 09:47:50,2024-06-25 21:34:41,a9ce0201
45.95.169.138,322,2024-06-26 09:45:49,2024-06-26 16:12:19,a9ce0201
45.95.169.138,322,2024-06-26 17:42:20,2024-06-26 22:59:20,a9ce0201
45.95.169.138,322,2024-06-27 10:02:10,2024-06-27 16:02:35,a9ce0201
45.95.169.138,322,2024-06-27 17:57:31,2024-06-27 21:59:48,a9ce0201
45.95.169.138,322,2024-06-28 09:35:33,2024-06-28 15:47:15,a9ce0201
45.95.169.138,322,2024-06-28 16:10:16,2024-06-28 19:58:01,a9ce0201
103.82.193.149,12345,2024-06-16 16:28:19,2024-06-16 17:44:04,e9626f6b
103.82.193.149,12345,2024-06-16 17:57:21,2024-06-16 18:03:34,e9626f6b
103.82.193.149,12345,2024-06-16 18:06:23,2024-06-16 22:15:59,e9626f6b
103.82.193.149,12345,2024-06-17 12:06:57,2024-06-17 12:21:56,e9626f6b
103.82.193.149,12345,2024-06-17 12:23:45,2024-06-17 15:53:36,e9626f6b
45.131.111.98,1312,2024-06-17 12:15:24,2024-06-17 12:21:55,19a6d211
45.131.111.98,1312,2024-06-17 12:24:06,2024-06-17 15:53:25,19a6d211
45.131.111.98,1312,2024-06-18 09:55:24,2024-06-18 12:52:53,19a6d211
45.131.111.98,1312,2024-06-18 15:32:19,2024-06-18 15:41:58,19a6d211
45.131.111.98,1312,2024-06-18 15:46:10,2024-06-18 18:13:56,19a6d211
45.131.111.98,1312,2024-06-19 10:13:14,2024-06-19 12:15:04,19a6d211
45.131.111.98,1312,2024-06-19 13:02:41,2024-06-19 15:09:37,19a6d211
194.55.186.47,1312,2024-06-20 10:38:59,2024-06-20 11:51:51,19a6d211
103.167.88.191,43957,2024-06-17 12:40:06,2024-06-17 15:53:37,dd1b3e85
103.167.88.191,43957,2024-06-18 09:54:59,2024-06-18 12:52:52,dd1b3e85
103.167.88.191,43957,2024-06-18 15:32:07,2024-06-18 15:42:02,dd1b3e85
103.167.88.191,43957,2024-06-18 15:46:01,2024-06-18 18:13:53,dd1b3e85
103.167.88.191,43957,2024-06-19 10:12:49,2024-06-19 12:14:58,dd1b3e85
103.167.88.191,43957,2024-06-19 13:02:25,2024-06-19 15:09:30,dd1b3e85
103.167.88.191,43957,2024-06-20 10:38:46,2024-06-20 14:08:09,dd1b3e85
103.167.88.191,43957,2024-06-20 14:36:38,2024-06-20 16:23:41,dd1b3e85
103.167.88.191,43957,2024-06-21 09:32:56,2024-06-21 14:29:12,dd1b3e85
45.90.13.207,59666,2024-06-27 09:47:04,2024-06-27 16:02:19,5f2ac36f
45.90.13.207,7777,2024-06-27 09:47:04,2024-06-27 16:02:19,5f2ac36f
45.90.13.207,59666,2024-06-27 17:57:32,2024-06-27 21:59:55,5f2ac36f
