ip,port,is_new,packet_cnt,total_bytes,syn_cnt,fin_cnt,rst_cnt,start_time,end_time
62.115.0.0,46852,no,14,0,12,0,2,2024-06-18 09:55:35.532167,2024-06-18 12:07:56.004850
150.29.0.0,49376,no,8,0,8,0,0,2024-06-18 09:59:02.181556,2024-06-18 10:04:39.916190
192.224.0.0,27651,yes,8,0,8,0,0,2024-06-18 10:09:21.867632,2024-06-18 12:40:21.276009
164.77.0.0,7193,yes,4,0,4,0,0,2024-06-18 10:14:11.019389,2024-06-18 10:14:18.236021
108.3.0.0,38429,yes,4,0,4,0,0,2024-06-18 10:24:30.706751,2024-06-18 10:24:37.916018
211.107.0.0,49376,no,4,0,4,0,0,2024-06-18 10:26:34.672333,2024-06-18 10:26:41.836084
192.224.0.0,54123,yes,12,0,12,0,0,2024-06-18 10:30:01.202274,2024-06-18 11:56:33.275962
164.77.0.0,23789,no,8,0,8,0,0,2024-06-18 10:33:27.861373,2024-06-18 12:28:38.876094
192.224.0.0,32876,no,8,0,8,0,0,2024-06-18 10:34:50.511115,2024-06-18 12:05:24.235986
92.237.0.0,32876,yes,8,0,8,0,0,2024-06-18 10:39:39.667608,2024-06-18 11:37:37.275988
92.237.0.0,23789,yes,4,0,4,0,0,2024-06-18 10:40:20.962041,2024-06-18 10:40:28.155992
62.115.0.0,54123,yes,8,0,8,0,0,2024-06-18 10:52:44.685570,2024-06-18 12:45:51.836196
240.103.0.0,7193,yes,4,0,4,0,0,2024-06-18 10:56:52.564352,2024-06-18 10:56:59.756192
150.29.0.0,42061,yes,4,0,4,0,0,2024-06-18 11:05:08.410284,2024-06-18 11:05:15.596134
92.237.0.0,7193,yes,4,0,4,0,0,2024-06-18 11:05:49.740216,2024-06-18 11:05:56.956016
150.29.0.0,23789,yes,8,0,8,0,0,2024-06-18 11:15:28.056956,2024-06-18 11:46:51.598009
240.103.0.0,61543,yes,4,0,4,0,0,2024-06-18 11:23:02.457277,2024-06-18 11:23:09.676179
108.3.0.0,54123,no,4,0,4,0,0,2024-06-18 11:24:25.092486,2024-06-18 11:24:32.316033
128.108.0.0,49376,yes,8,0,8,0,0,2024-06-18 11:29:14.263740,2024-06-18 11:47:36.315999
240.103.0.0,46852,no,4,0,4,0,0,2024-06-18 11:30:36.994719,2024-06-18 11:30:44.156081
92.237.0.0,46852,yes,8,0,8,0,0,2024-06-18 11:33:22.220662,2024-06-18 12:43:47.916130
183.4.0.0,15987,yes,4,0,4,0,0,2024-06-18 11:41:38.062343,2024-06-18 11:41:45.276017
92.237.0.0,27651,yes,4,0,4,0,0,2024-06-18 11:57:48.679644,2024-06-18 11:57:55.916147
164.77.0.0,49376,no,8,0,8,0,0,2024-06-18 12:02:37.807340,2024-06-18 12:49:18.396209
211.107.0.0,15987,yes,4,0,4,0,0,2024-06-18 12:03:19.122627,2024-06-18 12:03:26.316036
62.115.0.0,49376,no,7,0,5,0,2,2024-06-18 12:04:41.741697,2024-06-18 12:35:17.187956
183.4.0.0,23789,yes,4,0,4,0,0,2024-06-18 12:05:58.362418,2024-06-18 12:06:05.596189
240.103.0.0,38429,yes,8,0,8,0,0,2024-06-18 12:06:39.669551,2024-06-18 12:49:59.756092
183.4.0.0,27651,yes,4,0,4,0,0,2024-06-18 12:23:01.185310,2024-06-18 12:23:08.396055
150.29.0.0,32876,yes,8,0,8,0,0,2024-06-18 12:24:23.844315,2024-06-18 12:47:14.476199
28.25.0.0,42061,yes,8,0,8,0,0,2024-06-18 12:25:05.143935,2024-06-18 12:35:31.996064
108.3.0.0,15987,no,8,0,8,0,0,2024-06-18 12:42:59.378386,2024-06-18 12:50:41.036010
240.103.0.0,49376,yes,3,0,3,0,0,2024-06-18 12:46:27.036062,2024-06-18 12:46:33.196005
128.108.0.0,42061,yes,4,0,4,0,0,2024-06-18 12:47:48.601668,2024-06-18 12:47:55.836204
62.115.0.0,38429,yes,8,0,8,0,0,2024-06-18 12:48:29.925301,2024-06-18 12:52:03.676032
62.115.0.0,23789,yes,4,0,4,0,0,2024-06-18 12:51:15.206352,2024-06-18 12:51:22.396296
128.108.0.0,54123,yes,4,0,4,0,0,2024-06-18 12:52:37.833183,2024-06-18 12:52:45.036210
