attack_type,start_time,duration,src,target,protocol,src_port,dst_port,spoofed,packet_cnt,total_bytes,bot_id,cnc_ip,cnc_port,measure_start,measure_end
Scanning,2024-06-17 12:24:41.544471,3:25:57.080830,192.168.122.165,,tcp,,"23789,54123,7193,27651,49376,15987,32876,38429,61543,46852,42061",no,222,0,e296143245fd02f317dd8224c17c3f51278b26f1e4803d9075a83cd2153d36eb,150.29.0.0,49376,2024-06-17 12:23:16,2024-06-17 15:53:27
DP Attack,2024-06-17 12:23:33.605877,3:29:38.123708,,161.97.219.84,dns,,,no,1488,65331,e296143245fd02f317dd8224c17c3f51278b26f1e4803d9075a83cd2153d36eb,150.29.0.0,49376,2024-06-17 12:23:16,2024-06-17 15:53:27
DP Attack,2024-06-17 12:23:21.219817,3:23:04.430108,,192.168.122.0/24,"icmp,dns",,,"yes,no",90,4272,e296143245fd02f317dd8224c17c3f51278b26f1e4803d9075a83cd2153d36eb,150.29.0.0,49376,2024-06-17 12:23:16,2024-06-17 15:53:27
Scanning,2024-06-18 09:56:16.898540,2:50:09.061824,192.168.122.186,,tcp,,"23789,54123,7193,42061,27651,15987,32876,49376,61543,46852,38429",no,198,0,e296143245fd02f317dd8224c17c3f51278b26f1e4803d9075a83cd2153d36eb,62.115.0.0,49376,2024-06-18 09:54:52,2024-06-18 12:52:49
DP Attack,2024-06-18 09:55:08.769461,2:57:23.813284,,161.97.219.84,dns,,,no,1290,57137,e296143245fd02f317dd8224c17c3f51278b26f1e4803d9075a83cd2153d36eb,62.115.0.0,49376,2024-06-18 09:54:52,2024-06-18 12:52:49
DP Attack,2024-06-18 09:55:03.516459,2:46:57.671692,,192.168.122.0/24,dns,,,"yes,no",78,3810,e296143245fd02f317dd8224c17c3f51278b26f1e4803d9075a83cd2153d36eb,62.115.0.0,49376,2024-06-18 09:54:52,2024-06-18 12:52:49
DP Attack,2024-06-18 15:32:01.625757,0:09:57.797498,,161.97.219.84,dns,,,no,72,3195,e296143245fd02f317dd8224c17c3f51278b26f1e4803d9075a83cd2153d36eb,150.29.0.0,49376,2024-06-18 15:31:39,2024-06-18 15:41:59
Scanning,2024-06-18 15:46:19.452361,2:24:13.219981,192.168.122.54,,tcp,,"23789,54123,7193,42061,27651,15987,32876,49376,61543,46852,38429",no,156,0,e296143245fd02f317dd8224c17c3f51278b26f1e4803d9075a83cd2153d36eb,192.224.0.0,32876,2024-06-18 15:45:31,2024-06-18 18:13:45
DP Attack,2024-06-18 15:45:52.802349,2:27:23.835304,,161.97.219.84,dns,,,no,1050,46160,e296143245fd02f317dd8224c17c3f51278b26f1e4803d9075a83cd2153d36eb,192.224.0.0,32876,2024-06-18 15:45:31,2024-06-18 18:13:45
DP Attack,2024-06-18 15:45:46.670553,2:22:36.941475,,192.168.122.1,dns,,,no,66,3168,e296143245fd02f317dd8224c17c3f51278b26f1e4803d9075a83cd2153d36eb,192.224.0.0,32876,2024-06-18 15:45:31,2024-06-18 18:13:45
Scanning,2024-06-19 10:13:21.794606,2:00:37.815287,192.168.122.78,,tcp,,"23789,54123,7193,49376,27651,15987,32876,38429,61543,46852,42061",no,132,0,e296143245fd02f317dd8224c17c3f51278b26f1e4803d9075a83cd2153d36eb,108.3.0.0,15987,2024-06-19 10:12:33,2024-06-19 12:14:54
DP Attack,2024-06-19 10:12:55.712117,2:01:34.996730,,161.97.219.84,dns,,,no,864,38139,e296143245fd02f317dd8224c17c3f51278b26f1e4803d9075a83cd2153d36eb,108.3.0.0,15987,2024-06-19 10:12:33,2024-06-19 12:14:54
DP Attack,2024-06-19 10:12:49.717913,1:52:48.894645,,192.168.122.1,dns,,,no,54,2592,e296143245fd02f317dd8224c17c3f51278b26f1e4803d9075a83cd2153d36eb,108.3.0.0,15987,2024-06-19 10:12:33,2024-06-19 12:14:54
Scanning,2024-06-20 10:39:49.218935,1:06:11.002682,192.168.122.42,,tcp,,"23789,54123,7193,42061,27651,15987,32876,49376,61543,46852,38429",no,66,0,e296143245fd02f317dd8224c17c3f51278b26f1e4803d9075a83cd2153d36eb,164.77.0.0,23789,2024-06-20 10:38:15,2024-06-20 11:51:48
DP Attack,2024-06-20 10:38:41.108697,1:12:24.753447,,161.97.219.84,dns,,,no,492,21785,e296143245fd02f317dd8224c17c3f51278b26f1e4803d9075a83cd2153d36eb,164.77.0.0,23789,2024-06-20 10:38:15,2024-06-20 11:51:48
DP Attack,2024-06-20 10:38:21.844885,1:01:09.239256,,192.168.122.0/24,"icmp,dns",,,"yes,no",36,1688,e296143245fd02f317dd8224c17c3f51278b26f1e4803d9075a83cd2153d36eb,164.77.0.0,23789,2024-06-20 10:38:15,2024-06-20 11:51:48
Scanning,2024-06-21 09:34:05.265195,0:45:23.993386,192.168.122.62,,tcp,,"23789,54123,7193,27651,15987,32876,49376,61543,46852,38429",no,54,0,e296143245fd02f317dd8224c17c3f51278b26f1e4803d9075a83cd2153d36eb,150.29.0.0,49376,2024-06-21 09:32:31,2024-06-21 10:23:06
DP Attack,2024-06-21 09:32:55.494218,0:49:55.777231,,161.97.219.84,dns,,,no,354,15639,e296143245fd02f317dd8224c17c3f51278b26f1e4803d9075a83cd2153d36eb,150.29.0.0,49376,2024-06-21 09:32:31,2024-06-21 10:23:06
