ip,port,is_new,packet_cnt,total_bytes,syn_cnt,fin_cnt,rst_cnt,start_time,end_time,measure_start,measure_end,time_gap,duration
188.166.250.35,38429,no,4,0,4,0,0,2024-06-17 12:23:58.842494,2024-06-17 12:24:06.562381,2024-06-17 12:23:16,2024-06-17 15:53:27,0 days 00:00:42.842494,0 days 00:00:07.719887
240.103.0.0,46852,no,8,0,8,0,0,2024-06-17 12:25:23.594361,2024-06-17 12:36:04.561106,2024-06-17 12:23:16,2024-06-17 15:53:27,0 days 00:02:07.594361,0 days 00:10:40.966745
183.4.0.0,38429,yes,8,0,8,0,0,2024-06-17 12:28:54.641453,2024-06-17 15:27:29.601161,2024-06-17 12:23:16,2024-06-17 15:53:27,0 days 00:05:38.641453,0 days 02:58:34.959708
92.237.0.0,61543,yes,4,0,4,0,0,2024-06-17 12:31:01.671972,2024-06-17 12:31:09.538992,2024-06-17 12:23:16,2024-06-17 15:53:27,0 days 00:07:45.671972,0 days 00:00:07.867020
108.3.0.0,15987,no,4,0,4,0,0,2024-06-17 12:33:08.544200,2024-06-17 12:33:15.760947,2024-06-17 12:23:16,2024-06-17 15:53:27,0 days 00:09:52.544200,0 days 00:00:07.216747
164.77.0.0,7193,yes,4,0,4,0,0,2024-06-17 12:39:32.507435,2024-06-17 12:39:39.700910,2024-06-17 12:23:16,2024-06-17 15:53:27,0 days 00:16:16.507435,0 days 00:00:07.193475
164.77.0.0,23789,no,16,0,16,0,0,2024-06-17 12:47:58.688141,2024-06-17 15:06:19.601038,2024-06-17 12:23:16,2024-06-17 15:53:27,0 days 00:24:42.688141,0 days 02:18:20.912897
150.29.0.0,49376,no,20,0,20,0,0,2024-06-17 12:55:00.817061,2024-06-17 14:19:44.720832,2024-06-17 12:23:16,2024-06-17 15:53:27,0 days 00:31:44.817061,0 days 01:24:43.903771
211.107.0.0,49376,no,24,0,24,0,0,2024-06-17 12:55:43.544008,2024-06-17 15:30:18.640823,2024-06-17 12:23:16,2024-06-17 15:53:27,0 days 00:32:27.544008,0 days 02:34:35.096815
62.115.0.0,49376,no,8,0,8,0,0,2024-06-17 12:57:07.686166,2024-06-17 15:36:39.538260,2024-06-17 12:23:16,2024-06-17 15:53:27,0 days 00:33:51.686166,0 days 02:39:31.852094
62.115.0.0,42061,yes,8,0,8,0,0,2024-06-17 13:11:13.589603,2024-06-17 14:16:13.536560,2024-06-17 12:23:16,2024-06-17 15:53:27,0 days 00:47:57.589603,0 days 01:04:59.946957
28.25.0.0,23789,yes,8,0,8,0,0,2024-06-17 13:12:37.692284,2024-06-17 15:39:28.563072,2024-06-17 12:23:16,2024-06-17 15:53:27,0 days 00:49:21.692284,0 days 02:26:50.870788
192.224.0.0,32876,no,4,0,4,0,0,2024-06-17 13:14:02.546960,2024-06-17 13:14:09.761271,2024-06-17 12:23:16,2024-06-17 15:53:27,0 days 00:50:46.546960,0 days 00:00:07.214311
192.224.0.0,7193,yes,8,0,8,0,0,2024-06-17 13:18:57.683543,2024-06-17 15:26:46.800989,2024-06-17 12:23:16,2024-06-17 15:53:27,0 days 00:55:41.683543,0 days 02:07:49.117446
183.4.0.0,54123,yes,8,0,8,0,0,2024-06-17 13:23:11.690788,2024-06-17 14:08:26.801135,2024-06-17 12:23:16,2024-06-17 15:53:27,0 days 00:59:55.690788,0 days 00:45:15.110347
128.108.0.0,61543,yes,4,0,4,0,0,2024-06-17 13:34:26.800204,2024-06-17 13:34:34.640815,2024-06-17 12:23:16,2024-06-17 15:53:27,0 days 01:11:10.800204,0 days 00:00:07.840611
211.107.0.0,46852,yes,4,0,4,0,0,2024-06-17 13:38:40.712077,2024-06-17 13:38:48.561142,2024-06-17 12:23:16,2024-06-17 15:53:27,0 days 01:15:24.712077,0 days 00:00:07.849065
