ip,port,is_new,packet_cnt,total_bytes,syn_cnt,fin_cnt,rst_cnt,start_time,end_time,measure_start,measure_end,time_gap,duration
217.32.184.17,23,no,51,0,0,0,51,2024-06-17 12:29:46.566886,2024-06-17 12:40:16.747782,2024-06-17 12:23:16,2024-06-17 15:53:37,0 days 00:06:30.566886,0 days 00:10:30.180896
171.166.70.158,80,yes,1,0,1,0,0,2024-06-17 12:40:23.575855,2024-06-17 12:40:23.575855,2024-06-17 12:23:16,2024-06-17 15:53:37,0 days 00:17:07.575855,0 days 00:00:00
18.89.84.28,80,yes,1,0,1,0,0,2024-06-17 12:40:23.607265,2024-06-17 12:40:23.607265,2024-06-17 12:23:16,2024-06-17 15:53:37,0 days 00:17:07.607265,0 days 00:00:00
217.32.184.17,23,no,42,0,0,0,42,2024-06-18 10:01:11.604848,2024-06-18 10:09:26.620540,2024-06-18 09:54:52,2024-06-18 12:53:19,0 days 00:06:19.604848,0 days 00:08:15.015692
128.136.171.42,80,yes,1,0,1,0,0,2024-06-18 10:09:37.552242,2024-06-18 10:09:37.552242,2024-06-18 09:54:52,2024-06-18 12:53:19,0 days 00:14:45.552242,0 days 00:00:00
156.86.236.129,37215,yes,1,0,1,0,0,2024-06-18 10:09:37.554971,2024-06-18 10:09:37.554971,2024-06-18 09:54:52,2024-06-18 12:53:19,0 days 00:14:45.554971,0 days 00:00:00
208.229.167.117,80,yes,1,0,1,0,0,2024-06-18 10:09:37.555942,2024-06-18 10:09:37.555942,2024-06-18 09:54:52,2024-06-18 12:53:19,0 days 00:14:45.555942,0 days 00:00:00
217.32.184.17,23,no,20,0,0,0,20,2024-06-18 15:38:02.539288,2024-06-18 15:41:58.537930,2024-06-18 15:31:39,2024-06-18 15:42:05,0 days 00:06:23.539288,0 days 00:03:55.998642
146.111.66.255,80,yes,1,0,1,0,0,2024-06-18 15:42:04.606364,2024-06-18 15:42:04.606364,2024-06-18 15:31:39,2024-06-18 15:42:05,0 days 00:10:25.606364,0 days 00:00:00
217.32.184.17,23,no,75,0,0,0,75,2024-06-18 15:51:49.477113,2024-06-18 16:01:39.450969,2024-06-18 15:45:31,2024-06-18 18:13:59,0 days 00:06:18.477113,0 days 00:09:49.973856
203.196.40.42,80,yes,1,0,1,0,0,2024-06-18 16:01:42.530229,2024-06-18 16:01:42.530229,2024-06-18 15:45:31,2024-06-18 18:13:59,0 days 00:16:11.530229,0 days 00:00:00
64.13.123.73,80,yes,1,0,1,0,0,2024-06-18 16:01:42.538855,2024-06-18 16:01:42.538855,2024-06-18 15:45:31,2024-06-18 18:13:59,0 days 00:16:11.538855,0 days 00:00:00
149.33.0.47,80,yes,1,0,1,0,0,2024-06-18 16:01:42.543149,2024-06-18 16:01:42.543149,2024-06-18 15:45:31,2024-06-18 18:13:59,0 days 00:16:11.543149,0 days 00:00:00
14.217.50.198,80,yes,1,0,1,0,0,2024-06-18 16:01:42.547629,2024-06-18 16:01:42.547629,2024-06-18 15:45:31,2024-06-18 18:13:59,0 days 00:16:11.547629,0 days 00:00:00
121.128.125.219,80,yes,1,0,1,0,0,2024-06-18 16:01:42.550539,2024-06-18 16:01:42.550539,2024-06-18 15:45:31,2024-06-18 18:13:59,0 days 00:16:11.550539,0 days 00:00:00
217.32.184.17,23,no,47,0,0,0,47,2024-06-19 10:18:53.600018,2024-06-19 10:28:18.611144,2024-06-19 10:12:33,2024-06-19 12:15:05,0 days 00:06:20.600018,0 days 00:09:25.011126
217.32.184.17,23,no,52,0,0,0,52,2024-06-20 10:44:32.077563,2024-06-20 10:54:53.951089,2024-06-20 10:38:15,2024-06-20 11:51:44,0 days 00:06:17.077563,0 days 00:10:21.873526
135.146.227.182,80,yes,1,0,1,0,0,2024-06-20 10:55:00.049631,2024-06-20 10:55:00.049631,2024-06-20 10:38:15,2024-06-20 11:51:44,0 days 00:16:45.049631,0 days 00:00:00
39.143.22.225,80,yes,1,0,1,0,0,2024-06-20 10:55:00.052115,2024-06-20 10:55:00.052115,2024-06-20 10:38:15,2024-06-20 11:51:44,0 days 00:16:45.052115,0 days 00:00:00
89.250.25.252,80,yes,1,0,1,0,0,2024-06-20 10:55:00.054010,2024-06-20 10:55:00.054010,2024-06-20 10:38:15,2024-06-20 11:51:44,0 days 00:16:45.054010,0 days 00:00:00
217.32.184.17,23,no,73,0,0,0,73,2024-06-21 09:38:49.384156,2024-06-21 09:53:54.242747,2024-06-21 09:32:31,2024-06-21 10:42:08,0 days 00:06:18.384156,0 days 00:15:04.858591
41.21.198.16,37215,yes,1,0,1,0,0,2024-06-21 09:54:02.385787,2024-06-21 09:54:02.385787,2024-06-21 09:32:31,2024-06-21 10:42:08,0 days 00:21:31.385787,0 days 00:00:00
69.74.154.209,80,yes,1,0,1,0,0,2024-06-21 09:54:02.387341,2024-06-21 09:54:02.387341,2024-06-21 09:32:31,2024-06-21 10:42:08,0 days 00:21:31.387341,0 days 00:00:00
