ip,port,is_new,packet_cnt,total_bytes,syn_cnt,fin_cnt,rst_cnt,start_time,end_time,measure_start,measure_end,time_gap,duration
104.1.108.118,37215,no,3,0,3,0,0,2024-06-17 11:55:46.643706,2024-06-17 11:55:46.644651,2024-06-17 11:55:31,2024-06-17 12:21:59,0 days 00:00:15.643706,0 days 00:00:00.000945
197.74.107.228,37215,yes,1,0,1,0,0,2024-06-17 11:57:44.528466,2024-06-17 11:57:44.528466,2024-06-17 11:55:31,2024-06-17 12:21:59,0 days 00:02:13.528466,0 days 00:00:00
41.180.74.239,37215,yes,3,0,3,0,0,2024-06-17 11:57:44.528680,2024-06-17 11:57:44.529097,2024-06-17 11:55:31,2024-06-17 12:21:59,0 days 00:02:13.528680,0 days 00:00:00.000417
0.71.90.208,37215,no,6,0,6,0,0,2024-06-17 12:24:00.709310,2024-06-17 12:24:00.710244,2024-06-17 12:23:46,2024-06-17 15:53:39,0 days 00:00:14.709310,0 days 00:00:00.000934
41.239.5.90,37215,yes,1,0,1,0,0,2024-06-17 12:26:01.234164,2024-06-17 12:26:01.234164,2024-06-17 12:23:46,2024-06-17 15:53:39,0 days 00:02:15.234164,0 days 00:00:00
41.114.107.15,37215,yes,11,0,11,0,0,2024-06-17 12:26:01.234229,2024-06-17 12:26:01.234682,2024-06-17 12:23:46,2024-06-17 15:53:39,0 days 00:02:15.234229,0 days 00:00:00.000453
99.142.198.121,37215,yes,1,0,1,0,0,2024-06-17 12:26:01.234733,2024-06-17 12:26:01.234733,2024-06-17 12:23:46,2024-06-17 15:53:39,0 days 00:02:15.234733,0 days 00:00:00
0.71.90.208,37215,no,1,0,1,0,0,2024-06-18 09:55:34.515009,2024-06-18 09:55:34.515009,2024-06-18 09:55:23,2024-06-18 12:53:21,0 days 00:00:11.515009,0 days 00:00:00
157.242.21.227,37215,no,2,0,2,0,0,2024-06-18 09:55:34.515375,2024-06-18 09:55:34.515596,2024-06-18 09:55:23,2024-06-18 12:53:21,0 days 00:00:11.515375,0 days 00:00:00.000221
156.108.244.234,37215,yes,1,0,1,0,0,2024-06-18 09:57:32.713200,2024-06-18 09:57:32.713200,2024-06-18 09:55:23,2024-06-18 12:53:21,0 days 00:02:09.713200,0 days 00:00:00
41.6.8.161,37215,yes,2,0,2,0,0,2024-06-18 09:57:32.713484,2024-06-18 09:57:32.713628,2024-06-18 09:55:23,2024-06-18 12:53:21,0 days 00:02:09.713484,0 days 00:00:00.000144
197.207.7.90,37215,yes,6,0,6,0,0,2024-06-18 09:57:32.713768,2024-06-18 09:57:32.714218,2024-06-18 09:55:23,2024-06-18 12:53:21,0 days 00:02:09.713768,0 days 00:00:00.000450
197.21.163.110,37215,yes,1,0,1,0,0,2024-06-18 09:57:32.714294,2024-06-18 09:57:32.714294,2024-06-18 09:55:23,2024-06-18 12:53:21,0 days 00:02:09.714294,0 days 00:00:00
41.22.135.216,37215,yes,3,0,3,0,0,2024-06-18 09:57:32.714367,2024-06-18 09:57:32.714567,2024-06-18 09:55:23,2024-06-18 12:53:21,0 days 00:02:09.714367,0 days 00:00:00.000200
119.13.111.225,37215,no,10,0,10,0,0,2024-06-18 15:32:29.510149,2024-06-18 15:32:29.510927,2024-06-18 15:32:08,2024-06-18 15:42:06,0 days 00:00:21.510149,0 days 00:00:00.000778
102.38.118.223,37215,yes,1,0,1,0,0,2024-06-18 15:34:29.099138,2024-06-18 15:34:29.099138,2024-06-18 15:32:08,2024-06-18 15:42:06,0 days 00:02:21.099138,0 days 00:00:00
197.162.22.110,37215,yes,2,0,2,0,0,2024-06-18 15:34:29.099247,2024-06-18 15:34:29.099411,2024-06-18 15:32:08,2024-06-18 15:42:06,0 days 00:02:21.099247,0 days 00:00:00.000164
62.127.223.89,37215,yes,1,0,1,0,0,2024-06-18 15:34:29.099602,2024-06-18 15:34:29.099602,2024-06-18 15:32:08,2024-06-18 15:42:06,0 days 00:02:21.099602,0 days 00:00:00
197.207.116.213,37215,yes,6,0,6,0,0,2024-06-18 15:34:29.099752,2024-06-18 15:34:29.100250,2024-06-18 15:32:08,2024-06-18 15:42:06,0 days 00:02:21.099752,0 days 00:00:00.000498
0.71.90.208,37215,no,1,0,1,0,0,2024-06-18 15:46:17.627477,2024-06-18 15:46:17.627477,2024-06-18 15:46:04,2024-06-18 18:13:59,0 days 00:00:13.627477,0 days 00:00:00
156.55.135.238,37215,no,8,0,8,0,0,2024-06-18 15:46:17.627752,2024-06-18 15:46:17.628203,2024-06-18 15:46:04,2024-06-18 18:13:59,0 days 00:00:13.627752,0 days 00:00:00.000451
41.115.72.221,37215,yes,1,0,1,0,0,2024-06-18 15:48:17.241156,2024-06-18 15:48:17.241156,2024-06-18 15:46:04,2024-06-18 18:13:59,0 days 00:02:13.241156,0 days 00:00:00
0.71.90.208,37215,no,3,0,3,0,0,2024-06-19 10:13:26.703537,2024-06-19 10:13:26.718916,2024-06-19 10:13:13,2024-06-19 12:15:04,0 days 00:00:13.703537,0 days 00:00:00.015379
102.47.139.171,37215,yes,3,0,3,0,0,2024-06-19 10:15:25.312259,2024-06-19 10:15:25.312388,2024-06-19 10:13:13,2024-06-19 12:15:04,0 days 00:02:12.312259,0 days 00:00:00.000129
197.203.121.11,37215,yes,2,0,2,0,0,2024-06-19 10:15:25.312480,2024-06-19 10:15:25.312553,2024-06-19 10:13:13,2024-06-19 12:15:04,0 days 00:02:12.312480,0 days 00:00:00.000073
102.78.90.79,37215,yes,1,0,1,0,0,2024-06-19 10:15:25.312653,2024-06-19 10:15:25.312653,2024-06-19 10:13:13,2024-06-19 12:15:04,0 days 00:02:12.312653,0 days 00:00:00
41.3.250.153,37215,yes,2,0,2,0,0,2024-06-19 10:15:25.312759,2024-06-19 10:15:25.312849,2024-06-19 10:13:13,2024-06-19 12:15:04,0 days 00:02:12.312759,0 days 00:00:00.000090
0.71.90.208,37215,no,2,0,2,0,0,2024-06-20 10:39:09.307745,2024-06-20 10:39:09.308107,2024-06-20 10:38:59,2024-06-20 11:51:50,0 days 00:00:10.307745,0 days 00:00:00.000362
102.56.180.219,37215,yes,3,0,3,0,0,2024-06-20 10:41:11.889015,2024-06-20 10:41:11.889103,2024-06-20 10:38:59,2024-06-20 11:51:50,0 days 00:02:12.889015,0 days 00:00:00.000088
102.47.56.150,37215,yes,2,0,2,0,0,2024-06-20 10:41:11.889164,2024-06-20 10:41:11.889216,2024-06-20 10:38:59,2024-06-20 11:51:50,0 days 00:02:12.889164,0 days 00:00:00.000052
156.89.66.62,37215,no,2,0,2,0,0,2024-06-20 14:37:08.861576,2024-06-20 14:37:08.861934,2024-06-20 14:36:44,2024-06-20 16:21:58,0 days 00:00:24.861576,0 days 00:00:00.000358
156.91.40.68,37215,yes,15,0,15,0,0,2024-06-20 14:39:07.252440,2024-06-20 14:39:07.259507,2024-06-20 14:36:44,2024-06-20 16:21:58,0 days 00:02:23.252440,0 days 00:00:00.007067
156.51.187.226,37215,yes,1,0,1,0,0,2024-06-20 14:39:07.260115,2024-06-20 14:39:07.260115,2024-06-20 14:36:44,2024-06-20 16:21:58,0 days 00:02:23.260115,0 days 00:00:00
156.75.230.205,37215,yes,3,0,3,0,0,2024-06-20 14:39:07.260285,2024-06-20 14:39:07.260426,2024-06-20 14:36:44,2024-06-20 16:21:58,0 days 00:02:23.260285,0 days 00:00:00.000141
0.71.90.208,37215,no,3,0,3,0,0,2024-06-21 09:33:27.562220,2024-06-21 09:33:27.562837,2024-06-21 09:33:15,2024-06-21 10:43:32,0 days 00:00:12.562220,0 days 00:00:00.000617
