attack_type,start_time,duration,src,target,protocol,src_port,dst_port,spoofed,packet_cnt,total_bytes,bot_id,cnc_ip,cnc_port,measure_start,measure_end
Scanning,2024-06-17 11:56:04.519271,0:01:56.950711,192.168.122.64,,tcp,,37215,no,78912,0,6fdf5b4b08a5894339c26249e190ce627b9585af846573098bed2c050d0ae80b,196.138.52.29,37215,2024-06-17 11:55:39,2024-06-17 12:22:00
Scanning,2024-06-17 12:24:07.820539,0:02:00.904424,192.168.122.42,,tcp,,37215,no,79248,0,6fdf5b4b08a5894339c26249e190ce627b9585af846573098bed2c050d0ae80b,196.138.52.29,37215,2024-06-17 12:23:49,2024-06-17 15:53:40
Scanning,2024-06-18 09:55:32.648932,0:01:56.881237,192.168.122.189,,tcp,,37215,no,78786,0,6fdf5b4b08a5894339c26249e190ce627b9585af846573098bed2c050d0ae80b,196.138.52.29,37215,2024-06-18 09:55:20,2024-06-18 12:52:54
Scanning,2024-06-18 15:32:30.662046,0:01:59.631860,192.168.122.3,,tcp,,37215,no,79032,0,6fdf5b4b08a5894339c26249e190ce627b9585af846573098bed2c050d0ae80b,196.138.52.29,37215,2024-06-18 15:32:08,2024-06-18 15:42:06
Scanning,2024-06-18 15:46:13.772983,0:02:00.768914,192.168.122.13,,tcp,,37215,no,78912,0,6fdf5b4b08a5894339c26249e190ce627b9585af846573098bed2c050d0ae80b,196.138.52.29,37215,2024-06-18 15:46:04,2024-06-18 18:13:56
Scanning,2024-06-19 10:13:22.713626,0:01:56.455588,192.168.122.220,,tcp,,37215,no,78684,0,6fdf5b4b08a5894339c26249e190ce627b9585af846573098bed2c050d0ae80b,196.138.52.29,37215,2024-06-19 10:13:04,2024-06-19 12:14:57
Scanning,2024-06-19 13:02:51.929968,0:02:02.641633,192.168.122.249,,tcp,,37215,no,79158,0,6fdf5b4b08a5894339c26249e190ce627b9585af846573098bed2c050d0ae80b,196.138.52.29,37215,2024-06-19 13:02:31,2024-06-19 15:09:29
Scanning,2024-06-20 10:39:14.881142,0:01:57.890764,192.168.122.185,,tcp,,37215,no,79074,0,6fdf5b4b08a5894339c26249e190ce627b9585af846573098bed2c050d0ae80b,196.138.52.29,37215,2024-06-20 10:38:59,2024-06-20 11:51:45
Scanning,2024-06-20 14:37:06.210402,0:02:03.472378,192.168.122.61,,tcp,,37215,no,78720,0,6fdf5b4b08a5894339c26249e190ce627b9585af846573098bed2c050d0ae80b,196.138.52.29,37215,2024-06-20 14:36:51,2024-06-20 16:22:07
Scanning,2024-06-21 09:33:50.274503,0:01:57.973968,192.168.122.242,,tcp,,37215,no,79092,0,6fdf5b4b08a5894339c26249e190ce627b9585af846573098bed2c050d0ae80b,196.138.52.29,37215,2024-06-21 09:33:28,2024-06-21 10:44:11
