ip,port,is_new,packet_cnt,total_bytes,syn_cnt,fin_cnt,rst_cnt,start_time,end_time,measure_start,measure_end,time_gap,duration
80.94.71.0,37215,no,3,0,3,0,0,2024-06-17 11:56:03.793012,2024-06-17 11:56:04.518852,2024-06-17 11:55:39,2024-06-17 12:22:00,0 days 00:00:24.793012,0 days 00:00:00.725840
102.152.241.121,37215,yes,3,0,3,0,0,2024-06-17 11:58:01.470081,2024-06-17 11:58:01.470299,2024-06-17 11:55:39,2024-06-17 12:22:00,0 days 00:02:22.470081,0 days 00:00:00.000218
197.158.219.234,37215,yes,1,0,1,0,0,2024-06-17 11:58:01.470431,2024-06-17 11:58:01.470431,2024-06-17 11:55:39,2024-06-17 12:22:00,0 days 00:02:22.470431,0 days 00:00:00
156.45.67.20,37215,yes,1,0,1,0,0,2024-06-17 11:58:01.470593,2024-06-17 11:58:01.470593,2024-06-17 11:55:39,2024-06-17 12:22:00,0 days 00:02:22.470593,0 days 00:00:00
197.102.175.244,37215,yes,3,0,3,0,0,2024-06-17 11:58:01.470743,2024-06-17 11:58:01.471066,2024-06-17 11:55:39,2024-06-17 12:22:00,0 days 00:02:22.470743,0 days 00:00:00.000323
41.111.198.28,37215,no,5,0,5,0,0,2024-06-17 12:24:07.820994,2024-06-17 12:24:07.821419,2024-06-17 12:23:49,2024-06-17 15:53:40,0 days 00:00:18.820994,0 days 00:00:00.000425
41.84.21.70,37215,yes,3,0,3,0,0,2024-06-17 12:26:08.725060,2024-06-17 12:26:08.725163,2024-06-17 12:23:49,2024-06-17 15:53:40,0 days 00:02:19.725060,0 days 00:00:00.000103
157.22.255.66,37215,yes,2,0,2,0,0,2024-06-17 12:26:08.725223,2024-06-17 12:26:08.725271,2024-06-17 12:23:49,2024-06-17 15:53:40,0 days 00:02:19.725223,0 days 00:00:00.000048
197.92.63.31,37215,yes,3,0,3,0,0,2024-06-17 12:26:08.725439,2024-06-17 12:26:08.725699,2024-06-17 12:23:49,2024-06-17 15:53:40,0 days 00:02:19.725439,0 days 00:00:00.000260
157.66.153.220,37215,yes,4,0,4,0,0,2024-06-17 12:26:08.725867,2024-06-17 12:26:08.726293,2024-06-17 12:23:49,2024-06-17 15:53:40,0 days 00:02:19.725867,0 days 00:00:00.000426
