cnc_ip,cnc_ready,cnc_port,cnc_status,cnc_update_at,measure_start,measure_end
196.138.52.29,True,37215,unknown,,2024-06-17 11:55:39,2024-06-17 12:22:00
196.138.52.29,True,37215,unknown,,2024-06-17 12:23:49,2024-06-17 15:53:40
196.138.52.29,True,37215,unknown,,2024-06-18 09:55:20,2024-06-18 12:52:54
196.138.52.29,True,37215,unknown,,2024-06-18 15:32:08,2024-06-18 15:42:06
196.138.52.29,True,37215,unknown,,2024-06-18 15:46:04,2024-06-18 18:13:56
196.138.52.29,True,37215,unknown,,2024-06-19 10:13:04,2024-06-19 12:14:57
196.138.52.29,True,37215,unknown,,2024-06-19 13:02:31,2024-06-19 15:09:29
196.138.52.29,True,37215,unknown,,2024-06-20 10:38:59,2024-06-20 11:51:45
196.138.52.29,True,37215,unknown,,2024-06-20 14:36:51,2024-06-20 16:22:07
196.138.52.29,True,37215,unknown,,2024-06-21 09:33:28,2024-06-21 10:44:11
