ip,port,is_new,packet_cnt,total_bytes,syn_cnt,fin_cnt,rst_cnt,start_time,end_time,measure_start,measure_end,time_gap,duration
197.118.79.169,37215,no,2,0,2,0,0,2024-06-17 11:55:44.662615,2024-06-17 11:55:44.662796,2024-06-17 11:55:31,2024-06-17 12:22:00,0 days 00:00:13.662615,0 days 00:00:00.000181
102.242.252.221,37215,yes,2,0,2,0,0,2024-06-17 11:57:42.522753,2024-06-17 11:57:42.522827,2024-06-17 11:55:31,2024-06-17 12:22:00,0 days 00:02:11.522753,0 days 00:00:00.000074
96.20.255.127,37215,yes,2,0,2,0,0,2024-06-17 11:57:42.522969,2024-06-17 11:57:42.523472,2024-06-17 11:55:31,2024-06-17 12:22:00,0 days 00:02:11.522969,0 days 00:00:00.000503
120.232.148.181,37215,yes,1,0,1,0,0,2024-06-17 11:57:42.523591,2024-06-17 11:57:42.523591,2024-06-17 11:55:31,2024-06-17 12:22:00,0 days 00:02:11.523591,0 days 00:00:00
134.166.101.26,37215,no,4,0,4,0,0,2024-06-17 12:23:39.692627,2024-06-17 12:23:39.692993,2024-06-17 12:23:21,2024-06-17 15:53:40,0 days 00:00:18.692627,0 days 00:00:00.000366
197.231.156.7,37215,yes,2,0,2,0,0,2024-06-17 12:25:39.816828,2024-06-17 12:25:39.816830,2024-06-17 12:23:21,2024-06-17 15:53:40,0 days 00:02:18.816828,0 days 00:00:00.000002
112.33.51.38,37215,no,3,0,3,0,0,2024-06-18 09:55:08.661455,2024-06-18 09:55:08.661811,2024-06-18 09:54:52,2024-06-18 12:53:20,0 days 00:00:16.661455,0 days 00:00:00.000356
143.3.158.148,37215,yes,2,0,2,0,0,2024-06-18 09:57:06.994526,2024-06-18 09:57:06.994533,2024-06-18 09:54:52,2024-06-18 12:53:20,0 days 00:02:14.994526,0 days 00:00:00.000007
157.201.221.100,37215,yes,4,0,4,0,0,2024-06-18 09:57:06.994721,2024-06-18 09:57:06.994922,2024-06-18 09:54:52,2024-06-18 12:53:20,0 days 00:02:14.994721,0 days 00:00:00.000201
197.118.1.146,37215,yes,3,0,3,0,0,2024-06-18 09:57:06.995030,2024-06-18 09:57:06.995119,2024-06-18 09:54:52,2024-06-18 12:53:20,0 days 00:02:14.995030,0 days 00:00:00.000089
19.24.190.103,37215,no,3,0,3,0,0,2024-06-18 15:32:07.868630,2024-06-18 15:32:07.869255,2024-06-18 15:31:45,2024-06-18 15:42:04,0 days 00:00:22.868630,0 days 00:00:00.000625
206.113.218.155,37215,yes,2,0,2,0,0,2024-06-18 15:34:06.362473,2024-06-18 15:34:06.362827,2024-06-18 15:31:45,2024-06-18 15:42:04,0 days 00:02:21.362473,0 days 00:00:00.000354
