ip,port,is_new,packet_cnt,total_bytes,syn_cnt,fin_cnt,rst_cnt,start_time,end_time,measure_start,measure_end,time_gap,duration
147.78.103.231,33966,no,490,0,295,0,195,2024-06-17 11:55:51.587695,2024-06-17 12:21:52.138309,2024-06-17 11:55:32,2024-06-17 12:21:56,0 days 00:00:19.587695,0 days 00:26:00.550614
147.78.103.231,33966,no,4146,0,2132,0,2014,2024-06-17 12:23:53.714456,2024-06-17 15:53:27.899997,2024-06-17 12:23:21,2024-06-17 15:53:28,0 days 00:00:32.714456,0 days 03:29:34.185541
147.78.103.231,33966,no,3475,0,1790,0,1685,2024-06-18 09:55:16.443463,2024-06-18 12:52:46.079024,2024-06-18 09:54:53,2024-06-18 12:52:48,0 days 00:00:23.443463,0 days 02:57:29.635561
147.78.103.231,33966,no,123,25,93,0,0,2024-06-18 15:32:15.647718,2024-06-18 15:39:48.389772,2024-06-18 15:31:53,2024-06-18 15:42:00,0 days 00:00:22.647718,0 days 00:07:32.742054
147.78.103.231,33966,no,748,619,105,0,8,2024-06-18 15:46:01.460683,2024-06-18 18:13:38.832450,2024-06-18 15:45:39,2024-06-18 18:13:54,0 days 00:00:22.460683,0 days 02:27:37.371767
147.78.103.231,33966,no,613,492,98,0,3,2024-06-19 10:13:07.657846,2024-06-19 12:14:53.509862,2024-06-19 10:12:44,2024-06-19 12:14:56,0 days 00:00:23.657846,0 days 02:01:45.852016
147.78.103.231,33966,no,638,570,24,0,4,2024-06-19 13:02:36.690775,2024-06-19 15:09:03.824688,2024-06-19 13:02:23,2024-06-19 15:09:29,0 days 00:00:13.690775,0 days 02:06:27.133913
147.78.103.231,33966,no,1790,0,1456,0,334,2024-06-20 10:38:52.954480,2024-06-20 11:51:47.222695,2024-06-20 10:38:31,2024-06-20 11:51:47,0 days 00:00:21.954480,0 days 01:12:54.268215
147.78.103.231,33966,no,2074,0,1686,0,388,2024-06-20 14:36:53.845577,2024-06-20 16:21:58.022683,2024-06-20 14:36:37,2024-06-20 16:21:59,0 days 00:00:16.845577,0 days 01:45:04.177106
147.78.103.231,33966,no,1862,0,1512,0,350,2024-06-21 09:33:09.570898,2024-06-21 10:45:17.606640,2024-06-21 09:32:46,2024-06-21 10:45:18,0 days 00:00:23.570898,0 days 01:12:08.035742
