cnc_ip,cnc_ready,cnc_port,cnc_status,cnc_update_at,measure_start,measure_end
147.78.103.231,True,33966,unknown,,2024-06-17 11:55:32,2024-06-17 12:21:56
147.78.103.231,True,33966,unknown,,2024-06-17 12:23:21,2024-06-17 15:53:28
147.78.103.231,True,33966,unknown,,2024-06-18 09:54:53,2024-06-18 12:52:48
147.78.103.231,True,33966,alive,2024-06-30 15:55:38.005085,2024-06-18 15:31:53,2024-06-18 15:42:00
147.78.103.231,True,33966,alive,2024-06-30 15:55:39.303362,2024-06-18 15:45:39,2024-06-18 18:13:54
147.78.103.231,True,33966,disconnected,2024-06-30 15:55:39.623094,2024-06-18 15:45:39,2024-06-18 18:13:54
147.78.103.231,True,33966,alive,2024-06-30 15:55:39.643048,2024-06-18 15:45:39,2024-06-18 18:13:54
147.78.103.231,True,33966,disconnected,2024-06-30 15:55:39.923427,2024-06-18 15:45:39,2024-06-18 18:13:54
147.78.103.231,True,33966,alive,2024-06-30 15:55:39.943298,2024-06-18 15:45:39,2024-06-18 18:13:54
147.78.103.231,True,33966,disconnected,2024-06-30 15:55:41.069570,2024-06-18 15:45:39,2024-06-18 18:13:54
147.78.103.231,True,33966,alive,2024-06-30 15:55:41.089290,2024-06-18 15:45:39,2024-06-18 18:13:54
147.78.103.231,True,33966,alive,2024-06-30 15:55:42.369726,2024-06-19 10:12:44,2024-06-19 12:14:56
147.78.103.231,True,33966,disconnected,2024-06-30 15:55:42.476569,2024-06-19 10:12:44,2024-06-19 12:14:56
147.78.103.231,True,33966,alive,2024-06-30 15:55:42.496496,2024-06-19 10:12:44,2024-06-19 12:14:56
147.78.103.231,True,33966,disconnected,2024-06-30 15:55:42.638639,2024-06-19 10:12:44,2024-06-19 12:14:56
147.78.103.231,True,33966,alive,2024-06-30 15:55:42.658650,2024-06-19 10:12:44,2024-06-19 12:14:56
147.78.103.231,True,33966,alive,2024-06-30 15:55:44.449929,2024-06-19 13:02:23,2024-06-19 15:09:29
147.78.103.231,True,33966,disconnected,2024-06-30 15:55:44.696044,2024-06-19 13:02:23,2024-06-19 15:09:29
147.78.103.231,True,33966,alive,2024-06-30 15:55:44.715710,2024-06-19 13:02:23,2024-06-19 15:09:29
147.78.103.231,True,33966,disconnected,2024-06-30 15:55:44.890400,2024-06-19 13:02:23,2024-06-19 15:09:29
147.78.103.231,True,33966,alive,2024-06-30 15:55:44.910262,2024-06-19 13:02:23,2024-06-19 15:09:29
147.78.103.231,True,33966,disconnected,2024-06-30 15:55:45.565068,2024-06-19 13:02:23,2024-06-19 15:09:29
147.78.103.231,True,33966,alive,2024-06-30 15:55:45.614695,2024-06-19 13:02:23,2024-06-19 15:09:29
147.78.103.231,True,33966,unknown,,2024-06-20 10:38:31,2024-06-20 11:51:47
147.78.103.231,True,33966,unknown,,2024-06-20 14:36:37,2024-06-20 16:21:59
147.78.103.231,True,33966,unknown,,2024-06-21 09:32:46,2024-06-21 10:45:18
