attack_type,start_time,duration,src,target,protocol,src_port,dst_port,spoofed,packet_cnt,total_bytes,bot_id,cnc_ip,cnc_port,measure_start,measure_end
Scanning,2024-06-17 11:56:00.675946,0:23:40.685377,192.168.122.180,,tcp,,37215,no,199374,0,2a80f1107c3a480db9b95e345e82bb0949165c323248308a2bff892e28824af5,103.82.38.94,4554,2024-06-17 11:55:33,2024-06-17 12:21:57
Scanning,2024-06-17 12:24:01.548134,0:24:13.973576,192.168.122.52,,tcp,,37215,no,199152,0,2a80f1107c3a480db9b95e345e82bb0949165c323248308a2bff892e28824af5,103.82.38.94,4554,2024-06-17 12:23:26,2024-06-17 15:53:38
Scanning,2024-06-18 09:55:24.786516,0:23:33.368804,192.168.122.161,,tcp,,37215,no,199470,0,2a80f1107c3a480db9b95e345e82bb0949165c323248308a2bff892e28824af5,103.82.38.94,4554,2024-06-18 09:54:57,2024-06-18 12:53:22
Scanning,2024-06-18 15:32:19.613822,0:09:43.993546,192.168.122.188,,tcp,,37215,no,81756,0,2a80f1107c3a480db9b95e345e82bb0949165c323248308a2bff892e28824af5,103.82.38.94,4554,2024-06-18 15:31:53,2024-06-18 15:42:04
Scanning,2024-06-18 15:46:15.556538,0:23:44.562012,192.168.122.46,,tcp,,37215,no,199434,0,2a80f1107c3a480db9b95e345e82bb0949165c323248308a2bff892e28824af5,103.82.38.94,4554,2024-06-18 15:45:42,2024-06-18 18:13:57
Scanning,2024-06-19 10:13:14.777306,0:23:37.486873,192.168.122.38,,tcp,,37215,no,199404,0,2a80f1107c3a480db9b95e345e82bb0949165c323248308a2bff892e28824af5,103.82.38.94,4554,2024-06-19 10:12:43,2024-06-19 12:15:03
Scanning,2024-06-19 13:02:43.686719,0:23:47.566417,192.168.122.211,,tcp,,37215,no,199488,0,2a80f1107c3a480db9b95e345e82bb0949165c323248308a2bff892e28824af5,103.82.38.94,4554,2024-06-19 13:02:23,2024-06-19 15:09:15
Scanning,2024-06-20 10:39:06.099599,0:23:57.352732,192.168.122.56,,tcp,,37215,no,199380,0,2a80f1107c3a480db9b95e345e82bb0949165c323248308a2bff892e28824af5,103.82.38.94,4554,2024-06-20 10:38:31,2024-06-20 11:51:56
Scanning,2024-06-20 14:36:54.113536,0:23:56.800095,192.168.122.126,,tcp,,37215,no,199422,0,2a80f1107c3a480db9b95e345e82bb0949165c323248308a2bff892e28824af5,103.82.38.94,4554,2024-06-20 14:36:37,2024-06-20 16:21:55
Scanning,2024-06-21 09:33:07.584453,0:23:54.974816,192.168.122.94,,tcp,,37215,no,199428,0,2a80f1107c3a480db9b95e345e82bb0949165c323248308a2bff892e28824af5,103.82.38.94,4554,2024-06-21 09:32:56,2024-06-21 10:47:15
