ip,port,is_new,packet_cnt,total_bytes,syn_cnt,fin_cnt,rst_cnt,start_time,end_time,measure_start,measure_end,time_gap,duration
103.82.38.94,4554,no,173,0,173,0,0,2024-06-17 11:56:00.643068,2024-06-17 12:19:37.499009,2024-06-17 11:55:33,2024-06-17 12:21:57,0 days 00:00:27.643068,0 days 00:23:36.855941
197.103.138.135,37215,yes,1,0,1,0,0,2024-06-17 12:19:41.362256,2024-06-17 12:19:41.362256,2024-06-17 11:55:33,2024-06-17 12:21:57,0 days 00:24:08.362256,0 days 00:00:00
197.154.32.160,37215,yes,1,0,1,0,0,2024-06-17 12:19:41.362981,2024-06-17 12:19:41.362981,2024-06-17 11:55:33,2024-06-17 12:21:57,0 days 00:24:08.362981,0 days 00:00:00
41.152.143.80,37215,yes,1,0,1,0,0,2024-06-17 12:19:41.363591,2024-06-17 12:19:41.363591,2024-06-17 11:55:33,2024-06-17 12:21:57,0 days 00:24:08.363591,0 days 00:00:00
156.52.198.68,37215,yes,1,0,1,0,0,2024-06-17 12:19:41.364228,2024-06-17 12:19:41.364228,2024-06-17 11:55:33,2024-06-17 12:21:57,0 days 00:24:08.364228,0 days 00:00:00
197.185.63.27,37215,yes,1,0,1,0,0,2024-06-17 12:19:41.365212,2024-06-17 12:19:41.365212,2024-06-17 11:55:33,2024-06-17 12:21:57,0 days 00:24:08.365212,0 days 00:00:00
103.82.38.94,4554,no,197,0,175,0,22,2024-06-17 12:24:01.540081,2024-06-17 12:48:14.127359,2024-06-17 12:23:26,2024-06-17 15:53:38,0 days 00:00:35.540081,0 days 00:24:12.587278
156.157.60.4,37215,yes,1,0,1,0,0,2024-06-17 12:48:15.522315,2024-06-17 12:48:15.522315,2024-06-17 12:23:26,2024-06-17 15:53:38,0 days 00:24:49.522315,0 days 00:00:00
197.232.19.52,37215,yes,1,0,1,0,0,2024-06-17 12:48:15.523123,2024-06-17 12:48:15.523123,2024-06-17 12:23:26,2024-06-17 15:53:38,0 days 00:24:49.523123,0 days 00:00:00
41.138.90.221,37215,yes,1,0,1,0,0,2024-06-17 12:48:15.523844,2024-06-17 12:48:15.523844,2024-06-17 12:23:26,2024-06-17 15:53:38,0 days 00:24:49.523844,0 days 00:00:00
41.90.209.129,37215,yes,1,0,1,0,0,2024-06-17 12:48:15.524591,2024-06-17 12:48:15.524591,2024-06-17 12:23:26,2024-06-17 15:53:38,0 days 00:24:49.524591,0 days 00:00:00
156.130.133.22,37215,yes,1,0,1,0,0,2024-06-17 12:48:15.525500,2024-06-17 12:48:15.525500,2024-06-17 12:23:26,2024-06-17 15:53:38,0 days 00:24:49.525500,0 days 00:00:00
103.82.38.94,4554,no,194,0,172,0,22,2024-06-18 09:55:24.778886,2024-06-18 10:18:53.257226,2024-06-18 09:54:57,2024-06-18 12:53:22,0 days 00:00:27.778886,0 days 00:23:28.478340
103.82.38.94,4554,no,78,0,72,0,6,2024-06-18 15:32:19.606101,2024-06-18 15:42:02.205852,2024-06-18 15:31:53,2024-06-18 15:42:04,0 days 00:00:26.606101,0 days 00:09:42.599751
156.154.39.174,37215,yes,1,0,1,0,0,2024-06-18 15:42:03.608057,2024-06-18 15:42:03.608057,2024-06-18 15:31:53,2024-06-18 15:42:04,0 days 00:10:10.608057,0 days 00:00:00
156.207.180.38,37215,yes,1,0,1,0,0,2024-06-18 15:42:03.608814,2024-06-18 15:42:03.608814,2024-06-18 15:31:53,2024-06-18 15:42:04,0 days 00:10:10.608814,0 days 00:00:00
156.37.8.73,37215,yes,1,0,1,0,0,2024-06-18 15:42:03.609678,2024-06-18 15:42:03.609678,2024-06-18 15:31:53,2024-06-18 15:42:04,0 days 00:10:10.609678,0 days 00:00:00
41.90.4.251,37215,yes,1,0,1,0,0,2024-06-18 15:42:03.610754,2024-06-18 15:42:03.610754,2024-06-18 15:31:53,2024-06-18 15:42:04,0 days 00:10:10.610754,0 days 00:00:00
103.82.38.94,4554,no,187,0,152,0,35,2024-06-18 15:46:15.549464,2024-06-18 16:09:44.657528,2024-06-18 15:45:42,2024-06-18 18:13:57,0 days 00:00:33.549464,0 days 00:23:29.108064
103.82.38.94,4554,no,195,0,173,0,22,2024-06-19 10:13:14.771245,2024-06-19 10:36:51.619689,2024-06-19 10:12:43,2024-06-19 12:15:03,0 days 00:00:31.771245,0 days 00:23:36.848444
197.42.57.189,37215,yes,1,0,1,0,0,2024-06-19 10:36:52.264853,2024-06-19 10:36:52.264853,2024-06-19 10:12:43,2024-06-19 12:15:03,0 days 00:24:09.264853,0 days 00:00:00
156.29.61.189,37215,yes,1,0,1,0,0,2024-06-19 10:36:52.265886,2024-06-19 10:36:52.265886,2024-06-19 10:12:43,2024-06-19 12:15:03,0 days 00:24:09.265886,0 days 00:00:00
197.204.41.166,37215,yes,1,0,1,0,0,2024-06-19 10:36:52.266663,2024-06-19 10:36:52.266663,2024-06-19 10:12:43,2024-06-19 12:15:03,0 days 00:24:09.266663,0 days 00:00:00
156.142.228.37,37215,yes,1,0,1,0,0,2024-06-19 10:36:52.267481,2024-06-19 10:36:52.267481,2024-06-19 10:12:43,2024-06-19 12:15:03,0 days 00:24:09.267481,0 days 00:00:00
41.141.31.219,37215,yes,1,0,1,0,0,2024-06-19 10:36:52.268217,2024-06-19 10:36:52.268217,2024-06-19 10:12:43,2024-06-19 12:15:03,0 days 00:24:09.268217,0 days 00:00:00
103.82.38.94,4554,no,200,0,173,0,27,2024-06-19 13:02:43.671803,2024-06-19 13:26:30.115458,2024-06-19 13:02:23,2024-06-19 15:09:15,0 days 00:00:20.671803,0 days 00:23:46.443655
197.233.8.9,37215,yes,1,0,1,0,0,2024-06-19 13:26:31.254005,2024-06-19 13:26:31.254005,2024-06-19 13:02:23,2024-06-19 15:09:15,0 days 00:24:08.254005,0 days 00:00:00
197.60.110.51,37215,yes,1,0,1,0,0,2024-06-19 13:26:31.254764,2024-06-19 13:26:31.254764,2024-06-19 13:02:23,2024-06-19 15:09:15,0 days 00:24:08.254764,0 days 00:00:00
103.82.38.94,4554,no,197,0,174,0,23,2024-06-20 10:39:06.087494,2024-06-20 11:02:59.948913,2024-06-20 10:38:31,2024-06-20 11:51:56,0 days 00:00:35.087494,0 days 00:23:53.861419
41.212.87.136,37215,yes,1,0,1,0,0,2024-06-20 11:03:03.453144,2024-06-20 11:03:03.453144,2024-06-20 10:38:31,2024-06-20 11:51:56,0 days 00:24:32.453144,0 days 00:00:00
156.162.49.123,37215,yes,1,0,1,0,0,2024-06-20 11:03:03.453876,2024-06-20 11:03:03.453876,2024-06-20 10:38:31,2024-06-20 11:51:56,0 days 00:24:32.453876,0 days 00:00:00
197.246.155.143,37215,yes,1,0,1,0,0,2024-06-20 11:03:03.454718,2024-06-20 11:03:03.454718,2024-06-20 10:38:31,2024-06-20 11:51:56,0 days 00:24:32.454718,0 days 00:00:00
197.199.65.121,37215,yes,1,0,1,0,0,2024-06-20 11:03:03.455574,2024-06-20 11:03:03.455574,2024-06-20 10:38:31,2024-06-20 11:51:56,0 days 00:24:32.455574,0 days 00:00:00
156.133.54.205,37215,yes,1,0,1,0,0,2024-06-20 11:03:03.456268,2024-06-20 11:03:03.456268,2024-06-20 10:38:31,2024-06-20 11:51:56,0 days 00:24:32.456268,0 days 00:00:00
103.82.38.94,4554,no,196,0,174,0,22,2024-06-20 14:36:54.101478,2024-06-20 15:00:47.988784,2024-06-20 14:36:37,2024-06-20 16:21:55,0 days 00:00:17.101478,0 days 00:23:53.887306
156.244.204.46,37215,yes,1,0,1,0,0,2024-06-20 15:00:50.914207,2024-06-20 15:00:50.914207,2024-06-20 14:36:37,2024-06-20 16:21:55,0 days 00:24:13.914207,0 days 00:00:00
156.42.64.115,37215,yes,1,0,1,0,0,2024-06-20 15:00:50.914779,2024-06-20 15:00:50.914779,2024-06-20 14:36:37,2024-06-20 16:21:55,0 days 00:24:13.914779,0 days 00:00:00
197.95.148.210,37215,yes,1,0,1,0,0,2024-06-20 15:00:50.915356,2024-06-20 15:00:50.915356,2024-06-20 14:36:37,2024-06-20 16:21:55,0 days 00:24:13.915356,0 days 00:00:00
103.82.38.94,4554,no,196,0,174,0,22,2024-06-21 09:33:07.542916,2024-06-21 09:57:01.103863,2024-06-21 09:32:56,2024-06-21 10:47:15,0 days 00:00:11.542916,0 days 00:23:53.560947
156.196.247.153,37215,yes,1,0,1,0,0,2024-06-21 09:57:02.560170,2024-06-21 09:57:02.560170,2024-06-21 09:32:56,2024-06-21 10:47:15,0 days 00:24:06.560170,0 days 00:00:00
41.240.42.162,37215,yes,1,0,1,0,0,2024-06-21 09:57:02.560944,2024-06-21 09:57:02.560944,2024-06-21 09:32:56,2024-06-21 10:47:15,0 days 00:24:06.560944,0 days 00:00:00
41.153.112.33,37215,yes,1,0,1,0,0,2024-06-21 09:57:02.561756,2024-06-21 09:57:02.561756,2024-06-21 09:32:56,2024-06-21 10:47:15,0 days 00:24:06.561756,0 days 00:00:00
41.147.88.209,37215,yes,1,0,1,0,0,2024-06-21 09:57:02.562573,2024-06-21 09:57:02.562573,2024-06-21 09:32:56,2024-06-21 10:47:15,0 days 00:24:06.562573,0 days 00:00:00
197.76.87.114,37215,yes,1,0,1,0,0,2024-06-21 09:57:02.563342,2024-06-21 09:57:02.563342,2024-06-21 09:32:56,2024-06-21 10:47:15,0 days 00:24:06.563342,0 days 00:00:00
