cnc_ip,cnc_ready,cnc_port,cnc_status,cnc_update_at,measure_start,measure_end
103.82.38.94,True,4554,unknown,,2024-06-17 11:55:33,2024-06-17 12:21:57
103.82.38.94,True,4554,unknown,,2024-06-17 12:23:26,2024-06-17 15:53:38
103.82.38.94,True,4554,unknown,,2024-06-18 09:54:57,2024-06-18 12:53:22
103.82.38.94,True,4554,unknown,,2024-06-18 15:31:53,2024-06-18 15:42:04
103.82.38.94,True,4554,unknown,,2024-06-18 15:45:42,2024-06-18 18:13:57
103.82.38.94,True,4554,unknown,,2024-06-19 10:12:43,2024-06-19 12:15:03
103.82.38.94,True,4554,unknown,,2024-06-19 13:02:23,2024-06-19 15:09:15
103.82.38.94,True,4554,unknown,,2024-06-20 10:38:31,2024-06-20 11:51:56
103.82.38.94,True,4554,unknown,,2024-06-20 14:36:37,2024-06-20 16:21:55
103.82.38.94,True,4554,unknown,,2024-06-21 09:32:56,2024-06-21 10:47:15
