ip,port,is_new,packet_cnt,total_bytes,syn_cnt,fin_cnt,rst_cnt,start_time,end_time,measure_start,measure_end,time_gap,duration
82.153.68.38,3778,no,610,0,358,0,252,2024-06-16 17:13:31.264567,2024-06-16 17:44:02.664916,2024-06-16 17:13:19,2024-06-16 17:44:04,0 days 00:00:12.264567,0 days 00:30:31.400349
82.153.68.38,3778,no,107,0,82,0,25,2024-06-16 17:58:37.173023,2024-06-16 18:03:37.609235,2024-06-16 17:58:11,2024-06-16 18:03:39,0 days 00:00:26.173023,0 days 00:05:00.436212
82.153.68.38,3778,no,5239,0,2649,0,2590,2024-06-16 18:05:51.306171,2024-06-16 22:15:54.116854,2024-06-16 18:05:31,2024-06-16 22:15:59,0 days 00:00:20.306171,0 days 04:10:02.810683
82.153.68.38,3778,no,371,0,323,0,48,2024-06-17 12:07:09.712888,2024-06-17 12:21:53.817823,2024-06-17 12:06:57,2024-06-17 12:21:55,0 days 00:00:12.712888,0 days 00:14:44.104935
82.153.68.38,3778,no,5676,0,4565,0,1111,2024-06-17 12:24:02.881059,2024-06-17 15:53:35.775966,2024-06-17 12:23:29,2024-06-17 15:53:29,0 days 00:00:33.881059,0 days 03:29:32.894907
82.153.68.38,3778,no,3820,0,1961,0,1859,2024-06-18 09:55:22.728726,2024-06-18 12:52:45.383634,2024-06-18 09:54:55,2024-06-18 12:52:50,0 days 00:00:27.728726,0 days 02:57:22.654908
82.153.68.38,3778,no,197,0,148,0,49,2024-06-18 15:32:26.408729,2024-06-18 15:41:56.524764,2024-06-18 15:31:56,2024-06-18 15:42:01,0 days 00:00:30.408729,0 days 00:09:30.116035
82.153.68.38,3778,no,3176,0,1638,0,1538,2024-06-18 15:46:11.479134,2024-06-18 18:13:49.348201,2024-06-18 15:45:43,2024-06-18 18:13:55,0 days 00:00:28.479134,0 days 02:27:37.869067
82.153.68.38,3778,no,3283,0,2651,0,632,2024-06-19 10:13:17.655034,2024-06-19 12:14:55.100981,2024-06-19 10:12:45,2024-06-19 12:14:58,0 days 00:00:32.655034,0 days 02:01:37.445947
82.153.68.38,3778,no,3180,0,2559,0,621,2024-06-19 13:02:42.861114,2024-06-19 15:09:33.406832,2024-06-19 13:02:23,2024-06-19 15:09:37,0 days 00:00:19.861114,0 days 02:06:50.545718
82.153.68.38,3778,no,1866,0,1520,0,346,2024-06-20 10:39:01.914890,2024-06-20 11:51:47.422470,2024-06-20 10:38:33,2024-06-20 11:51:50,0 days 00:00:28.914890,0 days 01:12:45.507580
82.153.68.38,3778,no,2222,0,1809,0,413,2024-06-20 14:36:59.956066,2024-06-20 16:22:05.446756,2024-06-20 14:36:38,2024-06-20 16:22:03,0 days 00:00:21.956066,0 days 01:45:05.490690
82.153.68.38,3778,no,1998,0,1623,0,375,2024-06-21 09:33:18.714464,2024-06-21 10:47:42.545363,2024-06-21 09:32:46,2024-06-21 10:47:44,0 days 00:00:32.714464,0 days 01:14:23.830899
