ip,port,is_new,packet_cnt,total_bytes,syn_cnt,fin_cnt,rst_cnt,start_time,end_time,measure_start,measure_end,time_gap,duration
93.123.85.119,4258,no,353,0,311,0,42,2024-06-16 17:13:53.474450,2024-06-16 17:43:55.787724,2024-06-16 17:13:31,2024-06-16 17:44:05,0 days 00:00:22.474450,0 days 00:30:02.313274
93.123.85.119,4258,no,60,0,57,0,3,2024-06-16 17:58:18.308357,2024-06-16 18:03:36.738477,2024-06-16 17:57:57,2024-06-16 18:03:38,0 days 00:00:21.308357,0 days 00:05:18.430120
93.123.85.119,4258,no,2989,0,2567,0,422,2024-06-16 18:06:10.389704,2024-06-16 22:15:50.193934,2024-06-16 18:05:49,2024-06-16 22:15:58,0 days 00:00:21.389704,0 days 04:09:39.804230
93.123.85.119,4258,no,170,0,154,0,16,2024-06-17 12:07:09.771585,2024-06-17 12:21:53.509754,2024-06-17 12:06:58,2024-06-17 12:21:57,0 days 00:00:11.771585,0 days 00:14:43.738169
93.123.85.119,4258,no,2503,0,2153,0,350,2024-06-17 12:24:02.504622,2024-06-17 15:53:23.849712,2024-06-17 12:23:29,2024-06-17 15:53:36,0 days 00:00:33.504622,0 days 03:29:21.345090
93.123.85.119,4258,no,2164,0,1843,0,321,2024-06-18 09:55:25.401230,2024-06-18 12:52:43.388938,2024-06-18 09:54:54,2024-06-18 12:52:50,0 days 00:00:31.401230,0 days 02:57:17.987708
93.123.85.119,4258,no,108,0,100,0,8,2024-06-18 15:32:30.420360,2024-06-18 15:41:58.112054,2024-06-18 15:31:56,2024-06-18 15:42:01,0 days 00:00:34.420360,0 days 00:09:27.691694
93.123.85.119,4258,no,2040,0,1609,0,431,2024-06-18 15:46:13.745923,2024-06-18 18:13:55.997263,2024-06-18 15:45:45,2024-06-18 18:13:56,0 days 00:00:28.745923,0 days 02:27:42.251340
93.123.85.119,4258,no,1452,0,1252,0,200,2024-06-19 10:13:15.699852,2024-06-19 12:14:51.378161,2024-06-19 10:12:46,2024-06-19 12:14:57,0 days 00:00:29.699852,0 days 02:01:35.678309
93.123.85.119,4258,no,1438,0,1234,0,204,2024-06-19 13:02:45.020547,2024-06-19 15:09:24.598038,2024-06-19 13:02:23,2024-06-19 15:09:30,0 days 00:00:22.020547,0 days 02:06:39.577491
93.123.85.119,4258,no,844,0,731,0,113,2024-06-20 10:39:06.051660,2024-06-20 11:51:54.739567,2024-06-20 10:38:34,2024-06-20 11:51:56,0 days 00:00:32.051660,0 days 01:12:48.687907
93.123.85.119,4258,no,1038,0,896,0,142,2024-06-20 14:36:58.851681,2024-06-20 16:21:57.727105,2024-06-20 14:36:38,2024-06-20 16:21:59,0 days 00:00:20.851681,0 days 01:44:58.875424
93.123.85.119,4258,no,892,0,773,0,119,2024-06-21 09:33:11.265317,2024-06-21 10:48:11.056617,2024-06-21 09:32:56,2024-06-21 10:48:16,0 days 00:00:15.265317,0 days 01:14:59.791300
