cnc_ip,cnc_ready,cnc_port,cnc_status,cnc_update_at,measure_start,measure_end
93.123.85.119,True,4258,unknown,,2024-06-16 17:13:31,2024-06-16 17:44:05
93.123.85.119,True,4258,unknown,,2024-06-16 17:57:57,2024-06-16 18:03:38
93.123.85.119,True,4258,unknown,,2024-06-16 18:05:49,2024-06-16 22:15:58
93.123.85.119,True,4258,unknown,,2024-06-17 12:06:58,2024-06-17 12:21:57
93.123.85.119,True,4258,unknown,,2024-06-17 12:23:29,2024-06-17 15:53:36
93.123.85.119,True,4258,unknown,,2024-06-18 09:54:54,2024-06-18 12:52:50
93.123.85.119,True,4258,unknown,,2024-06-18 15:31:56,2024-06-18 15:42:01
93.123.85.119,True,4258,unknown,,2024-06-18 15:45:45,2024-06-18 18:13:56
93.123.85.119,True,4258,unknown,,2024-06-19 10:12:46,2024-06-19 12:14:57
93.123.85.119,True,4258,unknown,,2024-06-19 13:02:23,2024-06-19 15:09:30
93.123.85.119,True,4258,unknown,,2024-06-20 10:38:34,2024-06-20 11:51:56
93.123.85.119,True,4258,unknown,,2024-06-20 14:36:38,2024-06-20 16:21:59
93.123.85.119,True,4258,unknown,,2024-06-21 09:32:56,2024-06-21 10:48:16
