ip,port,is_new,packet_cnt,total_bytes,syn_cnt,fin_cnt,rst_cnt,start_time,end_time,measure_start,measure_end,time_gap,duration
103.82.193.149,12345,no,21929,201960,2510,0,213,2024-06-16 16:28:40.274558,2024-06-16 17:43:30.796279,2024-06-16 16:28:19,2024-06-16 17:44:04,0 days 00:00:21.274558,0 days 01:14:50.521721
103.82.193.149,12345,no,4642,40223,525,0,131,2024-06-16 17:57:42.342954,2024-06-16 18:03:34.722777,2024-06-16 17:57:21,2024-06-16 18:03:34,0 days 00:00:21.342954,0 days 00:05:52.379823
103.82.193.149,12345,no,9825,83236,1052,0,133,2024-06-16 18:06:44.261638,2024-06-16 22:15:31.765812,2024-06-16 18:06:23,2024-06-16 22:15:59,0 days 00:00:21.261638,0 days 04:08:47.504174
103.82.193.149,12345,no,96,119,52,0,0,2024-06-17 12:07:12.520374,2024-06-17 12:21:34.822296,2024-06-17 12:06:57,2024-06-17 12:21:56,0 days 00:00:15.520374,0 days 00:14:22.301922
103.82.193.149,12345,no,199143,2031079,24934,0,129,2024-06-17 12:23:57.877692,2024-06-17 14:58:44.492404,2024-06-17 12:23:45,2024-06-17 15:53:36,0 days 00:00:12.877692,0 days 02:34:46.614712
103.82.193.149,12345,no,2162,0,1840,0,322,2024-06-18 09:55:24.834445,2024-06-18 12:52:50.668925,2024-06-18 09:54:57,2024-06-18 12:52:50,0 days 00:00:27.834445,0 days 02:57:25.834480
103.82.193.149,12345,no,108,0,101,0,7,2024-06-18 15:32:24.612380,2024-06-18 15:42:00.532000,2024-06-18 15:32:08,2024-06-18 15:42:02,0 days 00:00:16.612380,0 days 00:09:35.919620
103.82.193.149,12345,no,2026,0,1602,0,424,2024-06-18 15:46:17.508647,2024-06-18 18:13:52.312167,2024-06-18 15:45:48,2024-06-18 18:13:54,0 days 00:00:29.508647,0 days 02:27:34.803520
103.82.193.149,12345,no,1452,0,1252,0,200,2024-06-19 10:13:15.828762,2024-06-19 12:14:54.063406,2024-06-19 10:12:45,2024-06-19 12:14:59,0 days 00:00:30.828762,0 days 02:01:38.234644
103.82.193.149,12345,no,1889,0,1257,0,632,2024-06-19 13:02:44.928359,2024-06-19 15:09:34.414102,2024-06-19 13:02:24,2024-06-19 15:09:37,0 days 00:00:20.928359,0 days 02:06:49.485743
103.82.193.149,12345,no,847,0,734,0,113,2024-06-20 10:39:02.279787,2024-06-20 11:51:46.443768,2024-06-20 10:38:46,2024-06-20 11:51:51,0 days 00:00:16.279787,0 days 01:12:44.163981
103.82.193.149,12345,no,1027,0,887,0,140,2024-06-20 14:37:00.000639,2024-06-20 16:22:06.072438,2024-06-20 14:36:38,2024-06-20 16:22:07,0 days 00:00:22.000639,0 days 01:45:06.071799
103.82.193.149,12345,no,898,0,778,0,120,2024-06-21 09:33:16.566673,2024-06-21 10:48:43.024911,2024-06-21 09:32:56,2024-06-21 10:48:43,0 days 00:00:20.566673,0 days 01:15:26.458238
