ip,port,is_new,packet_cnt,total_bytes,syn_cnt,fin_cnt,rst_cnt,start_time,end_time,measure_start,measure_end,time_gap,duration
45.131.111.98,1312,no,204,35,138,0,0,2024-06-17 12:15:42.643798,2024-06-17 12:21:55.003260,2024-06-17 12:15:24,2024-06-17 12:21:55,0 days 00:00:18.643798,0 days 00:06:12.359462
89.190.156.145,7733,yes,21,0,21,0,0,2024-06-17 12:15:44.564977,2024-06-17 12:21:12.123112,2024-06-17 12:15:24,2024-06-17 12:21:55,0 days 00:00:20.564977,0 days 00:05:27.558135
45.131.111.98,1312,no,64745,30695,6181,0,19,2024-06-17 12:24:27.581456,2024-06-17 15:53:25.128889,2024-06-17 12:24:06,2024-06-17 15:53:25,0 days 00:00:21.581456,0 days 03:28:57.547433
89.190.156.145,7733,yes,252,0,252,0,0,2024-06-17 12:24:29.528499,2024-06-17 13:43:09.849411,2024-06-17 12:24:06,2024-06-17 15:53:25,0 days 00:00:23.528499,0 days 01:18:40.320912
45.131.111.98,1312,no,51622,24265,4846,0,92,2024-06-18 09:55:40.440592,2024-06-18 12:52:53.260362,2024-06-18 09:55:24,2024-06-18 12:52:53,0 days 00:00:16.440592,0 days 02:57:12.819770
89.190.156.145,7733,yes,266,0,266,0,0,2024-06-18 09:55:41.542548,2024-06-18 11:18:49.029084,2024-06-18 09:55:24,2024-06-18 12:52:53,0 days 00:00:17.542548,0 days 01:23:07.486536
89.190.156.145,7733,yes,33,0,33,0,0,2024-06-18 15:32:42.538874,2024-06-18 15:41:51.106908,2024-06-18 15:32:19,2024-06-18 15:41:58,0 days 00:00:23.538874,0 days 00:09:08.568034
45.131.111.98,1312,no,1481,680,237,0,0,2024-06-18 15:32:42.567069,2024-06-18 15:41:58.512723,2024-06-18 15:32:19,2024-06-18 15:41:58,0 days 00:00:23.567069,0 days 00:09:15.945654
45.131.111.98,1312,no,37802,17082,3736,0,294,2024-06-18 15:46:27.612366,2024-06-18 18:13:56.038399,2024-06-18 15:46:10,2024-06-18 18:13:56,0 days 00:00:17.612366,0 days 02:27:28.426033
89.190.156.145,7733,yes,252,0,252,0,0,2024-06-18 15:46:30.620214,2024-06-18 17:05:14.916478,2024-06-18 15:46:10,2024-06-18 18:13:56,0 days 00:00:20.620214,0 days 01:18:44.296264
45.131.111.98,1312,no,36703,16147,3288,0,14,2024-06-19 10:13:30.879163,2024-06-19 12:15:03.501344,2024-06-19 10:13:14,2024-06-19 12:15:04,0 days 00:00:16.879163,0 days 02:01:32.622181
89.190.156.145,7733,yes,385,0,385,0,0,2024-06-19 10:13:34.748310,2024-06-19 12:14:54.799609,2024-06-19 10:13:14,2024-06-19 12:15:04,0 days 00:00:20.748310,0 days 02:01:20.051299
45.131.111.98,1312,no,35782,15478,3089,0,29,2024-06-19 13:03:02.843690,2024-06-19 15:09:37.163268,2024-06-19 13:02:41,2024-06-19 15:09:37,0 days 00:00:21.843690,0 days 02:06:34.319578
89.190.156.145,7733,yes,261,0,261,0,0,2024-06-19 13:03:04.846087,2024-06-19 14:32:41.445966,2024-06-19 13:02:41,2024-06-19 15:09:37,0 days 00:00:23.846087,0 days 01:29:36.599879
194.55.186.47,1312,no,13601,6135,1507,0,177,2024-06-20 10:39:21.077737,2024-06-20 11:51:45.537921,2024-06-20 10:38:59,2024-06-20 11:51:51,0 days 00:00:22.077737,0 days 01:12:24.460184
89.190.156.145,7733,yes,220,0,220,0,0,2024-06-20 10:39:23.991734,2024-06-20 11:51:24.298945,2024-06-20 10:38:59,2024-06-20 11:51:51,0 days 00:00:24.991734,0 days 01:12:00.307211
194.55.186.47,1312,no,1471,0,787,0,684,2024-06-20 14:37:23.016213,2024-06-20 16:21:54.164391,2024-06-20 14:37:04,2024-06-20 16:21:54,0 days 00:00:19.016213,0 days 01:44:31.148178
89.190.156.145,7733,yes,245,0,245,0,0,2024-06-20 14:37:24.164793,2024-06-20 16:11:29.163990,2024-06-20 14:37:04,2024-06-20 16:21:54,0 days 00:00:20.164793,0 days 01:34:04.999197
194.55.186.47,1312,no,1487,0,795,0,692,2024-06-21 09:33:43.469651,2024-06-21 10:49:12.405774,2024-06-21 09:33:24,2024-06-21 10:49:12,0 days 00:00:19.469651,0 days 01:15:28.936123
89.190.156.145,7733,yes,239,0,239,0,0,2024-06-21 09:33:46.284988,2024-06-21 10:49:11.869015,2024-06-21 09:33:24,2024-06-21 10:49:12,0 days 00:00:22.284988,0 days 01:15:25.584027
