attack_type,start_time,duration,src,target,protocol,src_port,dst_port,spoofed,packet_cnt,total_bytes,bot_id,cnc_ip,cnc_port,measure_start,measure_end
DP Attack,2024-06-17 12:40:22.763296,3:11:54.009154,,192.168.122.0/24,dns,,,"yes,no",60,2852,dd1b3e859dabe893249b1084e998bdd90537a3451df527a46ecea958e15c10f8,103.167.88.191,43957,2024-06-17 12:40:06,2024-06-17 15:53:37
DP Attack,2024-06-18 09:55:27.652964,2:49:43.020635,,192.168.122.0/24,dns,,,"yes,no",78,3810,dd1b3e859dabe893249b1084e998bdd90537a3451df527a46ecea958e15c10f8,103.167.88.191,43957,2024-06-18 09:54:59,2024-06-18 12:52:52
DP Attack,2024-06-18 15:46:13.605535,2:19:48.838527,,192.168.122.1,dns,,,no,66,3168,dd1b3e859dabe893249b1084e998bdd90537a3451df527a46ecea958e15c10f8,103.167.88.191,43957,2024-06-18 15:46:01,2024-06-18 18:13:53
DP Attack,2024-06-19 10:13:18.718947,1:46:13.140442,,192.168.122.1,dns,,,no,54,2592,dd1b3e859dabe893249b1084e998bdd90537a3451df527a46ecea958e15c10f8,103.167.88.191,43957,2024-06-19 10:12:49,2024-06-19 12:14:58
DP Attack,2024-06-19 13:02:46.656687,1:51:29.997104,,192.168.122.1,dns,,,no,54,2592,dd1b3e859dabe893249b1084e998bdd90537a3451df527a46ecea958e15c10f8,103.167.88.191,43957,2024-06-19 13:02:25,2024-06-19 15:09:30
DP Attack,2024-06-20 10:39:04.876892,3:22:27.164750,,192.168.122.1,dns,,,no,90,4320,dd1b3e859dabe893249b1084e998bdd90537a3451df527a46ecea958e15c10f8,103.167.88.191,43957,2024-06-20 10:38:46,2024-06-20 14:08:09
DP Attack,2024-06-20 14:37:07.044205,1:31:52.529803,,192.168.122.1,dns,,,no,54,2592,dd1b3e859dabe893249b1084e998bdd90537a3451df527a46ecea958e15c10f8,103.167.88.191,43957,2024-06-20 14:36:38,2024-06-20 16:23:41
DP Attack,2024-06-21 09:33:20.597231,4:41:10.380733,,192.168.122.1,dns,,,no,126,6048,dd1b3e859dabe893249b1084e998bdd90537a3451df527a46ecea958e15c10f8,103.167.88.191,43957,2024-06-21 09:32:56,2024-06-21 14:29:12
DP Attack,2024-06-21 14:39:36.343812,1:35:02.018004,,192.168.122.1,dns,,,no,48,2304,dd1b3e859dabe893249b1084e998bdd90537a3451df527a46ecea958e15c10f8,103.167.88.191,43957,2024-06-21 14:39:26,2024-06-21 16:16:18
DP Attack,2024-06-22 10:05:56.849163,4:07:20.244359,,192.168.122.1,dns,,,no,72,3456,dd1b3e859dabe893249b1084e998bdd90537a3451df527a46ecea958e15c10f8,104.21.19.118,43957,2024-06-22 10:05:48,2024-06-22 14:38:47
DP Attack,2024-06-22 14:59:21.783595,3:23:04.027130,,192.168.122.1,dns,,,no,90,4320,dd1b3e859dabe893249b1084e998bdd90537a3451df527a46ecea958e15c10f8,104.21.19.118,43957,2024-06-22 14:59:09,2024-06-22 18:37:58
DP Attack,2024-06-22 18:42:35.786959,2:59:04.915265,,192.168.122.0/24,"tcp,dns",,,"yes,no",84,3932,dd1b3e859dabe893249b1084e998bdd90537a3451df527a46ecea958e15c10f8,104.21.19.118,43957,2024-06-22 18:42:25,2024-06-22 21:44:10
DP Attack,2024-06-23 09:17:18.546154,7:36:18.732648,,192.168.122.1,dns,,,no,192,9216,dd1b3e859dabe893249b1084e998bdd90537a3451df527a46ecea958e15c10f8,172.67.186.35,43957,2024-06-23 09:17:10,2024-06-23 16:58:59
DP Attack,2024-06-24 10:01:48.555840,5:06:07.909854,,192.168.122.0/24,"tcp,dns",,,"yes,no",132,6292,dd1b3e859dabe893249b1084e998bdd90537a3451df527a46ecea958e15c10f8,104.21.19.118,43957,2024-06-24 10:01:36,2024-06-24 15:19:25
DP Attack,2024-06-24 15:20:58.410164,6:06:27.096410,,192.168.122.1,dns,,,no,162,7776,dd1b3e859dabe893249b1084e998bdd90537a3451df527a46ecea958e15c10f8,104.21.19.118,43957,2024-06-24 15:20:43,2024-06-24 21:41:14
DP Attack,2024-06-25 09:47:55.620794,11:22:40.080806,,192.168.122.0/24,"tcp,dns",,,"yes,no",282,13543,dd1b3e859dabe893249b1084e998bdd90537a3451df527a46ecea958e15c10f8,104.21.19.118,43957,2024-06-25 09:47:50,2024-06-25 21:16:09
