ip,port,is_new,packet_cnt,total_bytes,syn_cnt,fin_cnt,rst_cnt,start_time,end_time,measure_start,measure_end,time_gap,duration
103.167.88.191,43957,no,55,0,55,0,0,2024-06-17 11:37:30.641070,2024-06-17 11:40:56.797267,2024-06-17 11:37:13,2024-06-17 11:41:01,0 days 00:00:17.641070,0 days 00:03:26.156197
103.167.88.191,43957,no,5045,222313,2699,0,752,2024-06-17 12:40:24.830931,2024-06-17 15:53:36.688001,2024-06-17 12:40:06,2024-06-17 15:53:37,0 days 00:00:18.830931,0 days 03:13:11.857070
103.167.88.191,43957,no,3118,4477,70,0,0,2024-06-18 09:55:27.484156,2024-06-18 12:52:52.439862,2024-06-18 09:54:59,2024-06-18 12:52:52,0 days 00:00:28.484156,0 days 02:57:24.955706
103.167.88.191,43957,no,178,152,76,0,0,2024-06-18 15:32:23.603306,2024-06-18 15:41:58.428562,2024-06-18 15:32:07,2024-06-18 15:42:02,0 days 00:00:16.603306,0 days 00:09:34.825256
103.167.88.191,43957,no,2466,3491,76,0,0,2024-06-18 15:46:13.730306,2024-06-18 18:13:44.427072,2024-06-18 15:46:01,2024-06-18 18:13:53,0 days 00:00:12.730306,0 days 02:27:30.696766
103.167.88.191,43957,no,2113,3005,68,0,0,2024-06-19 10:13:20.759094,2024-06-19 12:14:40.667589,2024-06-19 10:12:49,2024-06-19 12:14:58,0 days 00:00:31.759094,0 days 02:01:19.908495
103.167.88.191,43957,no,2327,3552,13,0,0,2024-06-19 13:02:47.747306,2024-06-19 15:09:26.640323,2024-06-19 13:02:25,2024-06-19 15:09:30,0 days 00:00:22.747306,0 days 02:06:38.893017
103.167.88.191,43957,no,3477,5071,77,0,0,2024-06-20 10:39:05.966464,2024-06-20 14:07:57.972211,2024-06-20 10:38:46,2024-06-20 14:08:09,0 days 00:00:19.966464,0 days 03:28:52.005747
103.167.88.191,43957,no,2006,3290,73,0,0,2024-06-20 14:37:08.216410,2024-06-20 16:23:40.879747,2024-06-20 14:36:38,2024-06-20 16:23:41,0 days 00:00:30.216410,0 days 01:46:32.663337
103.167.88.191,43957,no,5112,1389,2627,0,1256,2024-06-21 09:33:20.403685,2024-06-21 14:29:10.671813,2024-06-21 09:32:56,2024-06-21 14:29:12,0 days 00:00:24.403685,0 days 04:55:50.268128
103.167.88.191,43957,no,2033,0,1374,0,659,2024-06-21 14:39:39.222161,2024-06-21 16:16:17.253789,2024-06-21 14:39:26,2024-06-21 16:16:18,0 days 00:00:13.222161,0 days 01:36:38.031628
104.21.19.118,43957,no,2422,0,1945,0,477,2024-06-22 10:05:59.691103,2024-06-22 14:38:40.812427,2024-06-22 10:05:48,2024-06-22 14:38:47,0 days 00:00:11.691103,0 days 04:32:41.121324
172.67.186.35,43957,no,2024,0,2024,0,0,2024-06-22 10:06:15.754536,2024-06-22 14:38:46.812029,2024-06-22 10:05:48,2024-06-22 14:38:47,0 days 00:00:27.754536,0 days 04:32:31.057493
104.21.19.118,43957,no,2074,0,1667,0,407,2024-06-22 14:59:21.734968,2024-06-22 18:37:50.768032,2024-06-22 14:59:09,2024-06-22 18:37:58,0 days 00:00:12.734968,0 days 03:38:29.033064
172.67.186.35,43957,no,1655,0,1655,0,0,2024-06-22 14:59:32.823483,2024-06-22 18:37:54.703906,2024-06-22 14:59:09,2024-06-22 18:37:58,0 days 00:00:23.823483,0 days 03:38:21.880423
104.21.19.118,43957,no,1727,0,1388,0,339,2024-06-22 18:42:35.752336,2024-06-22 21:44:09.877808,2024-06-22 18:42:25,2024-06-22 21:44:10,0 days 00:00:10.752336,0 days 03:01:34.125472
172.67.186.35,43957,no,1376,0,1376,0,0,2024-06-22 18:43:22.690582,2024-06-22 21:43:29.717714,2024-06-22 18:42:25,2024-06-22 21:44:10,0 days 00:00:57.690582,0 days 03:00:07.027132
172.67.186.35,43957,no,4125,0,3310,0,815,2024-06-23 09:17:21.410916,2024-06-23 16:58:57.381375,2024-06-23 09:17:10,2024-06-23 16:58:59,0 days 00:00:11.410916,0 days 07:41:35.970459
104.21.19.118,43957,no,3596,0,3596,0,0,2024-06-23 09:18:10.382264,2024-06-23 16:57:54.267827,2024-06-23 09:17:10,2024-06-23 16:58:59,0 days 00:01:00.382264,0 days 07:39:43.885563
104.21.19.118,43957,no,2913,0,2339,0,574,2024-06-24 10:01:52.362502,2024-06-24 15:19:22.502283,2024-06-24 10:01:36,2024-06-24 15:19:25,0 days 00:00:16.362502,0 days 05:17:30.139781
172.67.186.35,43957,no,2472,0,2472,0,0,2024-06-24 10:02:20.484841,2024-06-24 15:18:34.350049,2024-06-24 10:01:36,2024-06-24 15:19:25,0 days 00:00:44.484841,0 days 05:16:13.865208
104.21.19.118,43957,no,3561,0,2824,0,737,2024-06-24 15:20:59.487828,2024-06-24 21:41:11.343150,2024-06-24 15:20:43,2024-06-24 21:41:14,0 days 00:00:16.487828,0 days 06:20:11.855322
172.67.186.35,43957,no,2908,0,2908,0,0,2024-06-24 15:21:17.344524,2024-06-24 21:40:37.364188,2024-06-24 15:20:43,2024-06-24 21:41:14,0 days 00:00:34.344524,0 days 06:19:20.019664
104.21.19.118,43957,no,6373,0,5109,0,1264,2024-06-25 09:48:03.650211,2024-06-25 21:16:09.618381,2024-06-25 09:47:50,2024-06-25 21:16:09,0 days 00:00:13.650211,0 days 11:28:05.968170
172.67.186.35,43957,no,5265,0,5265,0,0,2024-06-25 09:48:57.633508,2024-06-25 21:15:28.513949,2024-06-25 09:47:50,2024-06-25 21:16:09,0 days 00:01:07.633508,0 days 11:26:30.880441
