cnc_ip,cnc_ready,cnc_port,cnc_status,cnc_update_at,measure_start,measure_end
103.167.88.191,True,43957,unknown,,2024-06-17 11:37:13,2024-06-17 11:41:01
103.167.88.191,True,43957,alive,2024-06-30 14:49:32.022496,2024-06-17 12:40:06,2024-06-17 15:53:37
103.167.88.191,True,43957,disconnected,2024-06-30 14:49:38.210782,2024-06-17 12:40:06,2024-06-17 15:53:37
103.167.88.191,True,43957,alive,2024-06-30 14:49:45.189854,2024-06-18 09:54:59,2024-06-18 12:52:52
103.167.88.191,True,43957,disconnected,2024-06-30 14:49:51.017181,2024-06-18 09:54:59,2024-06-18 12:52:52
103.167.88.191,True,43957,alive,2024-06-30 14:49:51.031575,2024-06-18 09:54:59,2024-06-18 12:52:52
103.167.88.191,True,43957,alive,2024-06-30 14:49:52.434761,2024-06-18 15:32:07,2024-06-18 15:42:02
103.167.88.191,True,43957,alive,2024-06-30 14:49:53.519684,2024-06-18 15:46:01,2024-06-18 18:13:53
103.167.88.191,True,43957,disconnected,2024-06-30 14:49:55.464258,2024-06-18 15:46:01,2024-06-18 18:13:53
103.167.88.191,True,43957,alive,2024-06-30 14:49:55.486418,2024-06-18 15:46:01,2024-06-18 18:13:53
103.167.88.191,True,43957,disconnected,2024-06-30 14:49:57.459818,2024-06-18 15:46:01,2024-06-18 18:13:53
103.167.88.191,True,43957,alive,2024-06-30 14:49:57.469908,2024-06-18 15:46:01,2024-06-18 18:13:53
103.167.88.191,True,43957,alive,2024-06-30 14:49:59.462668,2024-06-19 10:12:49,2024-06-19 12:14:58
103.167.88.191,True,43957,alive,2024-06-30 14:50:04.373066,2024-06-19 13:02:25,2024-06-19 15:09:30
103.167.88.191,True,43957,alive,2024-06-30 14:50:10.148552,2024-06-20 10:38:46,2024-06-20 14:08:09
103.167.88.191,True,43957,alive,2024-06-30 14:50:18.381997,2024-06-20 14:36:38,2024-06-20 16:23:41
103.167.88.191,True,43957,alive,2024-06-30 14:50:23.560799,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,disconnected,2024-06-30 14:50:23.957572,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,alive,2024-06-30 14:50:24.034889,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,disconnected,2024-06-30 14:50:24.051503,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,alive,2024-06-30 14:50:24.074984,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,disconnected,2024-06-30 14:50:24.310937,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,alive,2024-06-30 14:50:24.334701,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,disconnected,2024-06-30 14:50:24.367662,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,alive,2024-06-30 14:50:24.403140,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,disconnected,2024-06-30 14:50:24.710960,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,alive,2024-06-30 14:50:24.725822,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,disconnected,2024-06-30 14:50:24.796683,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,alive,2024-06-30 14:50:24.821304,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,disconnected,2024-06-30 14:50:25.049173,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,alive,2024-06-30 14:50:25.075272,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,disconnected,2024-06-30 14:50:25.157357,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,alive,2024-06-30 14:50:25.189698,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,disconnected,2024-06-30 14:50:25.210574,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,alive,2024-06-30 14:50:25.216898,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,disconnected,2024-06-30 14:50:25.308585,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,alive,2024-06-30 14:50:25.342594,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,disconnected,2024-06-30 14:50:25.417084,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,alive,2024-06-30 14:50:25.439916,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,disconnected,2024-06-30 14:50:25.976373,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,alive,2024-06-30 14:50:26.001911,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,disconnected,2024-06-30 14:50:26.008532,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,alive,2024-06-30 14:50:26.097058,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,disconnected,2024-06-30 14:50:26.113940,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,alive,2024-06-30 14:50:26.252467,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,disconnected,2024-06-30 14:50:26.361283,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,alive,2024-06-30 14:50:26.384002,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,disconnected,2024-06-30 14:50:26.609512,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,alive,2024-06-30 14:50:26.633211,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,disconnected,2024-06-30 14:50:26.649972,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,alive,2024-06-30 14:50:26.662714,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,disconnected,2024-06-30 14:50:26.669371,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,alive,2024-06-30 14:50:26.691368,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,disconnected,2024-06-30 14:50:26.710086,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,alive,2024-06-30 14:50:26.745953,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,disconnected,2024-06-30 14:50:26.970683,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,alive,2024-06-30 14:50:26.991030,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,disconnected,2024-06-30 14:50:27.010002,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,alive,2024-06-30 14:50:27.047329,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,disconnected,2024-06-30 14:50:27.444931,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,alive,2024-06-30 14:50:27.466130,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,disconnected,2024-06-30 14:50:27.578678,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,alive,2024-06-30 14:50:27.617513,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,disconnected,2024-06-30 14:50:27.736726,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,alive,2024-06-30 14:50:27.751577,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,disconnected,2024-06-30 14:50:28.049338,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,alive,2024-06-30 14:50:28.060912,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,disconnected,2024-06-30 14:50:28.065731,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,alive,2024-06-30 14:50:28.109343,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,disconnected,2024-06-30 14:50:28.116033,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,alive,2024-06-30 14:50:28.140394,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,disconnected,2024-06-30 14:50:28.210490,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,alive,2024-06-30 14:50:28.224866,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,disconnected,2024-06-30 14:50:28.252266,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,alive,2024-06-30 14:50:28.269288,2024-06-21 09:32:56,2024-06-21 14:29:12
103.167.88.191,True,43957,unknown,,2024-06-21 14:39:26,2024-06-21 16:16:18
104.21.19.118,True,43957,unknown,,2024-06-22 10:05:48,2024-06-22 14:38:47
104.21.19.118,True,43957,unknown,,2024-06-22 14:59:09,2024-06-22 18:37:58
104.21.19.118,True,43957,unknown,,2024-06-22 18:42:25,2024-06-22 21:44:10
172.67.186.35,True,43957,unknown,,2024-06-23 09:17:10,2024-06-23 16:58:59
104.21.19.118,True,43957,unknown,,2024-06-24 10:01:36,2024-06-24 15:19:25
104.21.19.118,True,43957,unknown,,2024-06-24 15:20:43,2024-06-24 21:41:14
104.21.19.118,True,43957,unknown,,2024-06-25 09:47:50,2024-06-25 21:16:09
