ip,port,is_new,packet_cnt,total_bytes,syn_cnt,fin_cnt,rst_cnt,start_time,end_time,measure_start,measure_end,time_gap,duration
156.21.19.214,81,no,4,0,4,0,0,2024-06-19 13:05:04.628717,2024-06-19 13:05:11.845679,2024-06-19 13:04:13,2024-06-19 15:09:17,0 days 00:00:51.628717,0 days 00:00:07.216962
68.152.214.73,8080,yes,1,0,1,0,0,2024-06-19 13:56:45.647218,2024-06-19 13:56:45.647218,2024-06-19 13:04:13,2024-06-19 15:09:17,0 days 00:52:32.647218,0 days 00:00:00
40.243.123.47,8080,yes,1,0,1,0,0,2024-06-19 13:56:45.676634,2024-06-19 13:56:45.676634,2024-06-19 13:04:13,2024-06-19 15:09:17,0 days 00:52:32.676634,0 days 00:00:00
181.103.158.132,52869,no,4,0,4,0,0,2024-06-20 10:39:57.952615,2024-06-20 10:40:05.102673,2024-06-20 10:39:07,2024-06-20 11:51:57,0 days 00:00:50.952615,0 days 00:00:07.150058
75.158.130.60,80,yes,1,0,1,0,0,2024-06-20 11:31:53.012995,2024-06-20 11:31:53.012995,2024-06-20 10:39:07,2024-06-20 11:51:57,0 days 00:52:46.012995,0 days 00:00:00
103.86.45.5,49152,no,4,0,4,0,0,2024-06-20 14:37:48.266680,2024-06-20 14:37:56.001925,2024-06-20 14:37:04,2024-06-20 16:22:38,0 days 00:00:44.266680,0 days 00:00:07.735245
54.218.134.134,81,yes,1,0,1,0,0,2024-06-20 15:30:26.956055,2024-06-20 15:30:26.956055,2024-06-20 14:37:04,2024-06-20 16:22:38,0 days 00:53:22.956055,0 days 00:00:00
159.200.92.63,5555,yes,1,0,1,0,0,2024-06-20 15:30:26.956103,2024-06-20 15:30:26.956103,2024-06-20 14:37:04,2024-06-20 16:22:38,0 days 00:53:22.956103,0 days 00:00:00
112.67.52.225,80,yes,1,0,1,0,0,2024-06-20 15:30:26.962670,2024-06-20 15:30:26.962670,2024-06-20 14:37:04,2024-06-20 16:22:38,0 days 00:53:22.962670,0 days 00:00:00
78.6.213.1,80,yes,1,0,1,0,0,2024-06-20 15:30:27.005469,2024-06-20 15:30:27.005469,2024-06-20 14:37:04,2024-06-20 16:22:38,0 days 00:53:23.005469,0 days 00:00:00
145.59.71.236,52869,no,4,0,4,0,0,2024-06-21 09:34:14.576430,2024-06-21 09:34:22.388732,2024-06-21 09:33:24,2024-06-21 10:50:16,0 days 00:00:50.576430,0 days 00:00:07.812302
220.224.101.43,8080,yes,1,0,1,0,0,2024-06-21 10:32:19.301976,2024-06-21 10:32:19.301976,2024-06-21 09:33:24,2024-06-21 10:50:16,0 days 00:58:55.301976,0 days 00:00:00
6.76.231.181,8080,yes,1,0,1,0,0,2024-06-21 10:32:19.327733,2024-06-21 10:32:19.327733,2024-06-21 09:33:24,2024-06-21 10:50:16,0 days 00:58:55.327733,0 days 00:00:00
101.82.68.96,8080,yes,1,0,1,0,0,2024-06-21 10:32:19.327883,2024-06-21 10:32:19.327883,2024-06-21 09:33:24,2024-06-21 10:50:16,0 days 00:58:55.327883,0 days 00:00:00
175.166.208.39,49152,yes,1,0,1,0,0,2024-06-21 10:32:19.408098,2024-06-21 10:32:19.408098,2024-06-21 09:33:24,2024-06-21 10:50:16,0 days 00:58:55.408098,0 days 00:00:00
33.213.119.149,8081,yes,1,0,1,0,0,2024-06-21 10:32:19.410420,2024-06-21 10:32:19.410420,2024-06-21 09:33:24,2024-06-21 10:50:16,0 days 00:58:55.410420,0 days 00:00:00
