attack_type,start_time,duration,src,target,protocol,src_port,dst_port,spoofed,packet_cnt,total_bytes,bot_id,cnc_ip,cnc_port,measure_start,measure_end
DP Attack,2024-06-19 13:04:44.791230,2:04:50.402540,,192.168.122.0/24,"tcp,dns",,,"yes,no",42,1664,e87d52ee2a88699f99b66d065cda7054de5f1aff8312671a5aab377b626dcef8,93.123.85.37,8888,2024-06-19 13:04:26,2024-06-19 15:09:39
DP Attack,2024-06-20 10:47:46.875085,0:49:27.468469,,192.168.122.1,dns,,,no,30,1440,e87d52ee2a88699f99b66d065cda7054de5f1aff8312671a5aab377b626dcef8,93.123.85.37,8888,2024-06-20 10:47:26,2024-06-20 11:51:58
DP Attack,2024-06-20 14:40:00.928779,1:28:51.713555,,192.168.122.1,dns,,,no,42,2016,e87d52ee2a88699f99b66d065cda7054de5f1aff8312671a5aab377b626dcef8,93.123.85.37,8888,2024-06-20 14:39:43,2024-06-20 16:21:58
DP Attack,2024-06-21 09:33:52.227478,4:08:52.964687,,192.168.122.1,dns,,,no,72,3456,e87d52ee2a88699f99b66d065cda7054de5f1aff8312671a5aab377b626dcef8,93.123.85.37,8888,2024-06-21 09:33:29,2024-06-21 14:29:18
DP Attack,2024-06-21 14:39:58.407248,1:36:17.829103,,192.168.122.0/24,"tcp,dns",,,"yes,no",48,2263,e87d52ee2a88699f99b66d065cda7054de5f1aff8312671a5aab377b626dcef8,93.123.85.37,8888,2024-06-21 14:39:31,2024-06-21 16:16:18
DP Attack,2024-06-22 10:06:17.808088,4:28:37.545977,,192.168.122.1,dns,,,no,78,3744,e87d52ee2a88699f99b66d065cda7054de5f1aff8312671a5aab377b626dcef8,93.123.85.37,8888,2024-06-22 10:05:56,2024-06-22 14:38:46
DP Attack,2024-06-22 14:59:39.796224,3:21:46.736966,,192.168.122.1,dns,,,no,60,2880,e87d52ee2a88699f99b66d065cda7054de5f1aff8312671a5aab377b626dcef8,93.123.85.37,8888,2024-06-22 14:59:18,2024-06-22 18:37:55
DP Attack,2024-06-22 18:42:59.760702,2:58:47.683655,,192.168.122.0/24,"tcp,dns",,,"yes,no",90,4145,e87d52ee2a88699f99b66d065cda7054de5f1aff8312671a5aab377b626dcef8,93.123.85.37,8888,2024-06-22 18:42:36,2024-06-22 21:44:11
DP Attack,2024-06-23 09:17:45.486106,7:30:03.593397,,192.168.122.1,dns,,,no,192,9216,e87d52ee2a88699f99b66d065cda7054de5f1aff8312671a5aab377b626dcef8,93.123.85.37,8888,2024-06-23 09:17:26,2024-06-23 16:59:01
DP Attack,2024-06-24 10:02:05.522760,1:59:32.525590,,192.168.122.1,dns,,,no,60,2880,e87d52ee2a88699f99b66d065cda7054de5f1aff8312671a5aab377b626dcef8,93.123.85.37,8888,2024-06-24 10:01:44,2024-06-24 12:15:32
