ip,port,is_new,packet_cnt,total_bytes,syn_cnt,fin_cnt,rst_cnt,start_time,end_time,measure_start,measure_end,time_gap,duration
93.123.85.37,8888,no,731,0,636,0,95,2024-06-19 13:04:46.780378,2024-06-19 15:09:37.280297,2024-06-19 13:04:26,2024-06-19 15:09:39,0 days 00:00:20.780378,0 days 02:04:50.499919
93.123.85.37,8888,no,367,0,322,0,45,2024-06-20 10:47:44.044755,2024-06-20 11:51:55.918046,2024-06-20 10:47:26,2024-06-20 11:51:58,0 days 00:00:18.044755,0 days 01:04:11.873291
93.123.85.37,8888,no,489,0,425,0,64,2024-06-20 14:40:02.911991,2024-06-20 16:21:54.385144,2024-06-20 14:39:43,2024-06-20 16:21:58,0 days 00:00:19.911991,0 days 01:41:51.473153
93.123.85.37,8888,no,1698,0,1482,0,216,2024-06-21 09:33:50.299904,2024-06-21 14:29:17.445268,2024-06-21 09:33:29,2024-06-21 14:29:18,0 days 00:00:21.299904,0 days 04:55:27.145364
93.123.85.37,8888,no,595,0,523,0,72,2024-06-21 14:39:57.370180,2024-06-21 16:16:07.392764,2024-06-21 14:39:31,2024-06-21 16:16:18,0 days 00:00:26.370180,0 days 01:36:10.022584
93.123.85.37,8888,no,1845,0,1533,0,312,2024-06-22 10:06:16.713704,2024-06-22 14:38:35.147551,2024-06-22 10:05:56,2024-06-22 14:38:46,0 days 00:00:20.713704,0 days 04:32:18.433847
93.123.85.37,8888,no,1597,0,1315,0,282,2024-06-22 14:59:39.851179,2024-06-22 18:37:46.991449,2024-06-22 14:59:18,2024-06-22 18:37:55,0 days 00:00:21.851179,0 days 03:38:07.140270
93.123.85.37,8888,no,1363,0,1107,0,256,2024-06-22 18:42:56.811572,2024-06-22 21:44:10.796227,2024-06-22 18:42:36,2024-06-22 21:44:11,0 days 00:00:20.811572,0 days 03:01:13.984655
93.123.85.37,8888,no,2856,0,2499,0,357,2024-06-23 09:17:47.357657,2024-06-23 16:58:55.143524,2024-06-23 09:17:26,2024-06-23 16:59:01,0 days 00:00:21.357657,0 days 07:41:07.785867
93.123.85.37,8888,no,828,0,727,0,101,2024-06-24 10:02:07.533196,2024-06-24 12:15:18.699435,2024-06-24 10:01:44,2024-06-24 12:15:32,0 days 00:00:23.533196,0 days 02:13:11.166239
