cnc_ip,cnc_ready,cnc_port,cnc_status,cnc_update_at,measure_start,measure_end
93.123.85.37,True,8888,unknown,,2024-06-19 13:04:26,2024-06-19 15:09:39
93.123.85.37,True,8888,unknown,,2024-06-20 10:47:26,2024-06-20 11:51:58
93.123.85.37,True,8888,unknown,,2024-06-20 14:39:43,2024-06-20 16:21:58
93.123.85.37,True,8888,unknown,,2024-06-21 09:33:29,2024-06-21 14:29:18
93.123.85.37,True,8888,unknown,,2024-06-21 14:39:31,2024-06-21 16:16:18
93.123.85.37,True,8888,unknown,,2024-06-22 10:05:56,2024-06-22 14:38:46
93.123.85.37,True,8888,unknown,,2024-06-22 14:59:18,2024-06-22 18:37:55
93.123.85.37,True,8888,unknown,,2024-06-22 18:42:36,2024-06-22 21:44:11
93.123.85.37,True,8888,unknown,,2024-06-23 09:17:26,2024-06-23 16:59:01
93.123.85.37,True,8888,unknown,,2024-06-24 10:01:44,2024-06-24 12:15:32
