ip,port,is_new,packet_cnt,total_bytes,syn_cnt,fin_cnt,rst_cnt,start_time,end_time,measure_start,measure_end,time_gap,duration
0.70.234.112,37215,no,7,0,7,0,0,2024-06-21 10:54:12.282747,2024-06-21 10:54:12.284086,2024-06-21 10:53:49,2024-06-21 14:29:10,0 days 00:00:23.282747,0 days 00:00:00.001339
157.24.120.37,37215,yes,1,0,1,0,0,2024-06-21 10:56:09.351564,2024-06-21 10:56:09.351564,2024-06-21 10:53:49,2024-06-21 14:29:10,0 days 00:02:20.351564,0 days 00:00:00
197.87.17.150,37215,yes,1,0,1,0,0,2024-06-21 10:56:09.351707,2024-06-21 10:56:09.351707,2024-06-21 10:53:49,2024-06-21 14:29:10,0 days 00:02:20.351707,0 days 00:00:00
156.223.53.191,37215,yes,2,0,2,0,0,2024-06-21 10:56:09.351854,2024-06-21 10:56:09.351984,2024-06-21 10:53:49,2024-06-21 14:29:10,0 days 00:02:20.351854,0 days 00:00:00.000130
0.70.234.112,37215,no,7,0,7,0,0,2024-06-21 14:40:09.435932,2024-06-21 14:40:09.436461,2024-06-21 14:39:48,2024-06-21 16:16:20,0 days 00:00:21.435932,0 days 00:00:00.000529
197.73.206.81,37215,no,3,0,3,0,0,2024-06-22 10:06:22.804369,2024-06-22 10:06:22.805179,2024-06-22 10:05:59,2024-06-22 14:38:48,0 days 00:00:23.804369,0 days 00:00:00.000810
0.70.234.112,37215,no,7,0,7,0,0,2024-06-22 14:59:47.792504,2024-06-22 14:59:47.793068,2024-06-22 14:59:28,2024-06-22 18:37:56,0 days 00:00:19.792504,0 days 00:00:00.000564
157.241.205.185,37215,yes,2,0,2,0,0,2024-06-22 15:01:44.360034,2024-06-22 15:01:44.360106,2024-06-22 14:59:28,2024-06-22 18:37:56,0 days 00:02:16.360034,0 days 00:00:00.000072
197.100.225.106,37215,yes,2,0,2,0,0,2024-06-22 15:01:44.360193,2024-06-22 15:01:44.360259,2024-06-22 14:59:28,2024-06-22 18:37:56,0 days 00:02:16.360193,0 days 00:00:00.000066
18.68.117.146,37215,yes,1,0,1,0,0,2024-06-22 15:01:44.360326,2024-06-22 15:01:44.360326,2024-06-22 14:59:28,2024-06-22 18:37:56,0 days 00:02:16.360326,0 days 00:00:00
150.183.222.88,37215,yes,1,0,1,0,0,2024-06-22 15:01:44.360437,2024-06-22 15:01:44.360437,2024-06-22 14:59:28,2024-06-22 18:37:56,0 days 00:02:16.360437,0 days 00:00:00
0.70.234.112,37215,no,1,0,1,0,0,2024-06-22 18:43:05.809595,2024-06-22 18:43:05.809595,2024-06-22 18:42:44,2024-06-22 21:44:14,0 days 00:00:21.809595,0 days 00:00:00
41.130.114.213,37215,no,6,0,6,0,0,2024-06-22 18:43:05.810278,2024-06-22 18:43:05.810759,2024-06-22 18:42:44,2024-06-22 21:44:14,0 days 00:00:21.810278,0 days 00:00:00.000481
132.127.26.200,37215,yes,1,0,1,0,0,2024-06-22 18:45:01.314030,2024-06-22 18:45:01.314030,2024-06-22 18:42:44,2024-06-22 21:44:14,0 days 00:02:17.314030,0 days 00:00:00
102.179.56.57,37215,yes,4,0,4,0,0,2024-06-22 18:45:01.314123,2024-06-22 18:45:01.314370,2024-06-22 18:42:44,2024-06-22 21:44:14,0 days 00:02:17.314123,0 days 00:00:00.000247
197.13.121.57,37215,yes,10,0,10,0,0,2024-06-22 18:45:01.314441,2024-06-22 18:45:01.315343,2024-06-22 18:42:44,2024-06-22 21:44:14,0 days 00:02:17.314441,0 days 00:00:00.000902
0.70.234.112,37215,no,1,0,1,0,0,2024-06-23 09:17:39.452368,2024-06-23 09:17:39.452368,2024-06-23 09:17:15,2024-06-23 16:59:02,0 days 00:00:24.452368,0 days 00:00:00
157.56.83.223,37215,no,3,0,3,0,0,2024-06-23 09:17:39.452662,2024-06-23 09:17:39.453418,2024-06-23 09:17:15,2024-06-23 16:59:02,0 days 00:00:24.452662,0 days 00:00:00.000756
157.215.240.244,37215,yes,4,0,4,0,0,2024-06-23 09:19:35.627139,2024-06-23 09:19:35.627321,2024-06-23 09:17:15,2024-06-23 16:59:02,0 days 00:02:20.627139,0 days 00:00:00.000182
41.110.177.248,37215,yes,1,0,1,0,0,2024-06-23 09:19:35.627411,2024-06-23 09:19:35.627411,2024-06-23 09:17:15,2024-06-23 16:59:02,0 days 00:02:20.627411,0 days 00:00:00
197.92.44.11,37215,no,4,0,4,0,0,2024-06-24 10:02:18.488292,2024-06-24 10:02:18.489038,2024-06-24 10:01:57,2024-06-24 12:18:11,0 days 00:00:21.488292,0 days 00:00:00.000746
102.122.107.5,37215,yes,1,0,1,0,0,2024-06-24 10:04:15.596007,2024-06-24 10:04:15.596007,2024-06-24 10:01:57,2024-06-24 12:18:11,0 days 00:02:18.596007,0 days 00:00:00
41.187.140.145,37215,yes,2,0,2,0,0,2024-06-24 10:04:15.596070,2024-06-24 10:04:15.596114,2024-06-24 10:01:57,2024-06-24 12:18:11,0 days 00:02:18.596070,0 days 00:00:00.000044
