ip,port,is_new,packet_cnt,total_bytes,syn_cnt,fin_cnt,rst_cnt,start_time,end_time
102.116.19.191,37215,no,12,0,12,0,0,2024-06-29 14:57:33.510094,2024-06-29 14:57:33.510556
157.139.118.28,37215,no,14,0,14,0,0,2024-06-29 14:57:33.519462,2024-06-29 14:57:33.520035
191.130.190.128,37215,no,10,0,10,0,0,2024-06-29 14:57:33.525803,2024-06-29 14:57:33.526748
102.100.150.48,37215,no,10,0,10,0,0,2024-06-29 14:57:33.550647,2024-06-29 14:57:33.551025
102.23.255.49,37215,no,10,0,10,0,0,2024-06-29 14:57:33.552047,2024-06-29 14:57:33.553093
197.117.126.144,37215,no,16,0,16,0,0,2024-06-29 14:57:33.553181,2024-06-29 14:57:33.554342
41.60.28.79,37215,no,10,0,10,0,0,2024-06-29 14:57:33.561136,2024-06-29 14:57:33.561485
102.175.217.222,37215,no,12,0,12,0,0,2024-06-29 14:57:33.561576,2024-06-29 14:57:33.562282
157.47.22.80,37215,no,11,0,11,0,0,2024-06-29 14:57:34.358499,2024-06-29 14:57:34.359736
2.28.194.250,37215,no,12,0,12,0,0,2024-06-29 14:57:34.379689,2024-06-29 14:57:34.380553
41.15.14.119,37215,no,10,0,10,0,0,2024-06-29 14:57:34.413304,2024-06-29 14:57:34.414210
197.235.91.247,37215,no,13,0,13,0,0,2024-06-29 14:57:34.414658,2024-06-29 14:57:34.415749
217.115.138.56,37215,no,10,0,10,0,0,2024-06-29 14:57:34.421673,2024-06-29 14:57:34.449943
73.187.56.135,37215,no,14,0,14,0,0,2024-06-29 14:57:34.468601,2024-06-29 14:57:34.470390
197.21.19.43,37215,no,10,0,10,0,0,2024-06-29 14:57:34.525000,2024-06-29 14:57:34.526265
157.210.130.114,37215,no,12,0,12,0,0,2024-06-29 14:57:35.370676,2024-06-29 14:57:35.371142
197.99.147.230,37215,no,11,0,11,0,0,2024-06-29 14:57:35.390438,2024-06-29 14:57:35.390820
41.237.246.97,37215,no,11,0,11,0,0,2024-06-29 14:57:36.401974,2024-06-29 14:57:36.402618
197.118.183.200,37215,no,10,0,10,0,0,2024-06-29 14:57:36.409537,2024-06-29 14:57:36.410231
41.232.226.81,37215,no,12,0,12,0,0,2024-06-29 14:57:36.414437,2024-06-29 14:57:36.415363
139.189.66.239,37215,no,14,0,14,0,0,2024-06-29 14:57:36.449988,2024-06-29 14:57:36.450563
41.106.210.192,37215,no,12,0,12,0,0,2024-06-29 14:57:36.475704,2024-06-29 14:57:36.477317
157.81.57.85,37215,no,10,0,10,0,0,2024-06-29 14:57:36.484673,2024-06-29 14:57:36.485571
156.2.3.157,37215,no,13,0,13,0,0,2024-06-29 14:57:36.491787,2024-06-29 14:57:36.492812
157.169.233.44,37215,no,11,0,11,0,0,2024-06-29 14:57:36.505673,2024-06-29 14:57:36.506109
41.236.99.107,37215,no,11,0,11,0,0,2024-06-29 14:57:36.514646,2024-06-29 14:57:36.515445
171.44.70.102,37215,no,12,0,12,0,0,2024-06-29 14:57:36.526803,2024-06-29 14:57:36.527544
197.222.240.169,37215,no,12,0,12,0,0,2024-06-29 14:57:36.535195,2024-06-29 14:57:36.535947
197.233.148.133,37215,no,10,0,10,0,0,2024-06-29 14:57:36.541435,2024-06-29 14:57:36.541790
157.218.145.215,37215,no,11,0,11,0,0,2024-06-29 14:57:36.547376,2024-06-29 14:57:36.548143
157.134.185.38,37215,no,11,0,11,0,0,2024-06-29 14:57:36.550958,2024-06-29 14:57:36.551342
137.88.104.248,37215,no,10,0,10,0,0,2024-06-29 14:57:37.571629,2024-06-29 14:57:37.571997
27.182.235.37,37215,no,11,0,11,0,0,2024-06-29 14:57:37.589870,2024-06-29 14:57:37.590450
102.77.15.70,37215,no,10,0,10,0,0,2024-06-29 14:57:37.596115,2024-06-29 14:57:37.596899
46.162.84.56,37215,no,12,0,12,0,0,2024-06-29 14:57:37.598681,2024-06-29 14:57:37.599739
41.186.142.157,37215,no,12,0,12,0,0,2024-06-29 14:57:37.617661,2024-06-29 14:57:37.618689
157.90.34.58,37215,no,11,0,11,0,0,2024-06-29 14:57:37.630515,2024-06-29 14:57:37.630950
156.244.251.150,37215,no,13,0,13,0,0,2024-06-29 14:57:37.646724,2024-06-29 14:57:37.647759
102.166.180.249,37215,no,12,0,12,0,0,2024-06-29 14:57:37.652674,2024-06-29 14:57:37.653357
157.106.43.255,37215,no,17,0,17,0,0,2024-06-29 14:57:37.660594,2024-06-29 14:57:37.661251
156.119.123.148,37215,no,11,0,11,0,0,2024-06-29 14:57:37.669008,2024-06-29 14:57:37.669815
157.75.177.101,37215,no,12,0,12,0,0,2024-06-29 14:57:37.679638,2024-06-29 14:57:37.680172
157.100.93.163,37215,no,10,0,10,0,0,2024-06-29 14:57:37.684311,2024-06-29 14:57:37.685051
156.101.165.170,37215,no,13,0,13,0,0,2024-06-29 14:57:37.685649,2024-06-29 14:57:37.686471
90.67.110.237,37215,no,11,0,11,0,0,2024-06-29 14:57:38.710499,2024-06-29 14:57:38.710902
41.172.70.153,37215,no,16,0,16,0,0,2024-06-29 14:57:38.712064,2024-06-29 14:57:38.713633
102.130.96.46,37215,no,10,0,10,0,0,2024-06-29 14:57:38.731286,2024-06-29 14:57:38.731643
197.7.225.239,37215,no,11,0,11,0,0,2024-06-29 14:57:38.735608,2024-06-29 14:57:38.736067
41.165.78.129,37215,no,10,0,10,0,0,2024-06-29 14:57:38.736330,2024-06-29 14:57:38.736632
157.220.207.219,37215,no,12,0,12,0,0,2024-06-29 14:57:38.750478,2024-06-29 14:57:38.750945
41.53.220.169,37215,no,12,0,12,0,0,2024-06-29 14:57:38.755853,2024-06-29 14:57:38.756679
197.30.248.101,37215,no,10,0,10,0,0,2024-06-29 14:57:38.761020,2024-06-29 14:57:38.761382
197.176.133.205,37215,no,10,0,10,0,0,2024-06-29 14:57:38.765558,2024-06-29 14:57:38.766201
96.88.4.41,37215,no,14,0,14,0,0,2024-06-29 14:57:38.786243,2024-06-29 14:57:38.786902
102.137.207.156,37215,no,14,0,14,0,0,2024-06-29 14:57:38.793579,2024-06-29 14:57:38.794646
157.150.3.122,37215,no,18,0,18,0,0,2024-06-29 14:57:38.798209,2024-06-29 14:57:38.799397
157.196.158.241,37215,no,11,0,11,0,0,2024-06-29 14:57:38.816159,2024-06-29 14:57:38.817042
157.133.135.116,37215,no,11,0,11,0,0,2024-06-29 14:57:38.833254,2024-06-29 14:57:38.834075
102.176.27.126,37215,no,13,0,13,0,0,2024-06-29 14:57:38.838416,2024-06-29 14:57:38.838955
157.125.214.20,37215,no,13,0,13,0,0,2024-06-29 14:57:39.844222,2024-06-29 14:57:39.845373
197.192.37.89,37215,no,13,0,13,0,0,2024-06-29 14:57:39.850507,2024-06-29 14:57:39.851019
206.150.247.152,37215,no,11,0,11,0,0,2024-06-29 14:57:39.939647,2024-06-29 14:57:39.940399
156.160.7.211,37215,no,16,0,16,0,0,2024-06-29 14:57:39.952874,2024-06-29 14:57:39.953975
156.133.195.97,37215,no,14,0,14,0,0,2024-06-29 14:57:41.041226,2024-06-29 14:57:41.041783
156.198.53.21,37215,no,12,0,12,0,0,2024-06-29 14:57:41.057554,2024-06-29 14:57:41.058373
197.229.199.237,37215,no,12,0,12,0,0,2024-06-29 14:57:41.071041,2024-06-29 14:57:41.071573
41.65.91.35,37215,no,11,0,11,0,0,2024-06-29 14:57:41.107153,2024-06-29 14:57:41.108063
157.114.166.140,37215,no,12,0,12,0,0,2024-06-29 14:57:42.136237,2024-06-29 14:57:42.137186
197.68.43.152,37215,no,11,0,11,0,0,2024-06-29 14:57:42.137634,2024-06-29 14:57:42.138661
197.169.81.20,37215,no,12,0,12,0,0,2024-06-29 14:57:42.161399,2024-06-29 14:57:42.161822
156.43.47.15,37215,no,11,0,11,0,0,2024-06-29 14:57:42.166204,2024-06-29 14:57:42.166560
101.51.178.69,37215,no,11,0,11,0,0,2024-06-29 14:57:42.169353,2024-06-29 14:57:42.170244
157.159.31.128,37215,no,14,0,14,0,0,2024-06-29 14:57:42.182036,2024-06-29 14:57:42.182537
156.139.84.248,37215,no,16,0,16,0,0,2024-06-29 14:57:42.186265,2024-06-29 14:57:42.187510
41.52.111.29,37215,no,11,0,11,0,0,2024-06-29 14:57:42.191244,2024-06-29 14:57:42.191639
157.28.38.207,37215,no,12,0,12,0,0,2024-06-29 14:57:42.221246,2024-06-29 14:57:42.221660
74.140.170.134,37215,no,11,0,11,0,0,2024-06-29 14:57:42.230247,2024-06-29 14:57:42.230783
41.82.73.156,37215,no,14,0,14,0,0,2024-06-29 14:57:42.231105,2024-06-29 14:57:42.231599
41.168.105.67,37215,no,11,0,11,0,0,2024-06-29 14:57:42.243978,2024-06-29 14:57:42.244969
41.244.146.152,37215,no,17,0,17,0,0,2024-06-29 14:57:42.251464,2024-06-29 14:57:42.252105
27.49.162.44,37215,no,11,0,11,0,0,2024-06-29 14:57:42.259495,2024-06-29 14:57:42.260384
197.157.106.159,37215,no,14,0,14,0,0,2024-06-29 14:57:42.271839,2024-06-29 14:57:42.272358
197.14.109.160,37215,no,11,0,11,0,0,2024-06-29 14:57:43.292435,2024-06-29 14:57:43.293145
41.9.253.48,37215,no,13,0,13,0,0,2024-06-29 14:57:43.294110,2024-06-29 14:57:43.295201
102.8.232.52,37215,no,11,0,11,0,0,2024-06-29 14:57:43.301889,2024-06-29 14:57:43.302294
102.214.136.70,37215,no,18,0,18,0,0,2024-06-29 14:57:43.306577,2024-06-29 14:57:43.308241
156.248.237.249,37215,no,12,0,12,0,0,2024-06-29 14:57:43.320659,2024-06-29 14:57:43.321165
157.191.181.36,37215,no,13,0,13,0,0,2024-06-29 14:57:43.324209,2024-06-29 14:57:43.325269
156.114.118.60,37215,no,11,0,11,0,0,2024-06-29 14:57:43.326134,2024-06-29 14:57:43.327063
157.253.39.89,37215,no,11,0,11,0,0,2024-06-29 14:57:43.331907,2024-06-29 14:57:43.332330
41.225.129.26,37215,no,12,0,12,0,0,2024-06-29 14:57:43.342013,2024-06-29 14:57:43.343225
156.155.191.34,37215,no,13,0,13,0,0,2024-06-29 14:57:43.392266,2024-06-29 14:57:43.392956
58.68.39.72,37215,no,11,0,11,0,0,2024-06-29 14:57:43.396839,2024-06-29 14:57:43.397598
157.185.141.193,37215,no,11,0,11,0,0,2024-06-29 14:57:43.411188,2024-06-29 14:57:43.411601
157.64.159.252,37215,no,11,0,11,0,0,2024-06-29 14:57:43.415538,2024-06-29 14:57:43.416497
102.74.189.248,37215,no,11,0,11,0,0,2024-06-29 14:57:44.502227,2024-06-29 14:57:44.502626
102.235.77.42,37215,no,11,0,11,0,0,2024-06-29 14:57:44.516537,2024-06-29 14:57:44.517460
41.182.102.200,37215,no,17,0,17,0,0,2024-06-29 14:57:44.519289,2024-06-29 14:57:44.520578
102.109.91.227,37215,no,12,0,12,0,0,2024-06-29 14:57:44.522586,2024-06-29 14:57:44.523388
102.108.68.213,37215,no,19,0,19,0,0,2024-06-29 14:57:44.525950,2024-06-29 14:57:44.527289
156.235.46.204,37215,yes,7,0,7,0,0,2024-06-29 14:59:29.665210,2024-06-29 14:59:29.665787
102.71.95.172,37215,yes,3,0,3,0,0,2024-06-29 14:59:29.665888,2024-06-29 14:59:29.666052
102.120.1.121,37215,yes,1,0,1,0,0,2024-06-29 14:59:29.666175,2024-06-29 14:59:29.666175
