ip,port,is_new,packet_cnt,total_bytes,syn_cnt,fin_cnt,rst_cnt,start_time,duration
152.89.244.142,33335,no,1997,4459,99,0,0,2024-06-22 14:59:17.704047,2:51:46.958020
212.102.40.182,22,yes,2,1360,2,0,0,2024-06-22 16:14:31.705225,0:00:00.005474
154.64.245.126,50435,yes,1,0,1,0,0,2024-06-22 17:44:54.818151,0:00:00
154.64.245.126,8192,yes,1,0,1,0,0,2024-06-22 17:44:54.821005,0:00:00
154.64.245.126,33234,yes,1,0,1,0,0,2024-06-22 17:44:54.823475,0:00:00
154.64.245.126,13126,yes,1,0,1,0,0,2024-06-22 17:44:54.825983,0:00:00
154.64.245.126,63306,yes,1,0,1,0,0,2024-06-22 17:44:54.828800,0:00:00
154.64.245.126,264,yes,1,0,1,0,0,2024-06-22 17:44:54.831075,0:00:00
154.64.245.126,28050,yes,1,0,1,0,0,2024-06-22 17:44:54.834594,0:00:00
154.64.245.126,55958,yes,1,0,1,0,0,2024-06-22 17:44:54.836926,0:00:00
154.64.245.126,31028,yes,1,0,1,0,0,2024-06-22 17:44:54.840564,0:00:00
154.64.245.126,57117,yes,1,0,1,0,0,2024-06-22 17:44:54.843384,0:00:00
154.64.245.126,32844,yes,1,0,1,0,0,2024-06-22 17:44:54.846831,0:00:00
154.64.245.126,65320,yes,1,0,1,0,0,2024-06-22 17:44:54.850444,0:00:00
154.64.245.126,50279,yes,1,0,1,0,0,2024-06-22 17:44:54.853661,0:00:00
154.64.245.126,39039,yes,1,0,1,0,0,2024-06-22 17:44:54.856711,0:00:00
154.64.245.126,30642,yes,1,0,1,0,0,2024-06-22 17:44:54.860645,0:00:00
154.64.245.126,48246,yes,1,0,1,0,0,2024-06-22 17:44:54.864260,0:00:00
154.64.245.126,61240,yes,1,0,1,0,0,2024-06-22 17:44:56.667902,0:00:00
154.64.245.126,11521,yes,1,0,1,0,0,2024-06-22 17:44:56.672507,0:00:00
154.64.245.126,38042,yes,1,0,1,0,0,2024-06-22 17:44:56.676327,0:00:00
154.64.245.126,28134,yes,1,0,1,0,0,2024-06-22 17:44:56.680527,0:00:00
154.64.245.126,36493,yes,1,0,1,0,0,2024-06-22 17:44:56.684478,0:00:00
154.64.245.126,36241,yes,1,0,1,0,0,2024-06-22 17:44:56.688383,0:00:00
154.64.245.126,28275,yes,1,0,1,0,0,2024-06-22 17:44:56.692311,0:00:00
154.64.245.126,3698,yes,1,0,1,0,0,2024-06-22 17:44:56.695578,0:00:00
154.64.245.126,20674,yes,1,0,1,0,0,2024-06-22 17:44:56.699755,0:00:00
154.64.245.126,35938,yes,1,0,1,0,0,2024-06-22 17:44:56.703653,0:00:00
154.64.245.126,25312,yes,1,0,1,0,0,2024-06-22 17:44:56.708275,0:00:00
154.64.245.126,1757,yes,1,0,1,0,0,2024-06-22 17:44:56.712325,0:00:00
154.64.245.126,8499,yes,1,0,1,0,0,2024-06-22 17:44:56.716021,0:00:00
154.64.245.126,8494,yes,1,0,1,0,0,2024-06-22 17:44:56.719724,0:00:00
154.64.245.126,5747,yes,1,0,1,0,0,2024-06-22 17:44:56.723070,0:00:00
154.64.245.126,9884,yes,2,0,2,0,0,2024-06-22 17:44:56.726388,0:00:03.000698
154.64.245.126,42760,yes,1,0,1,0,0,2024-06-22 17:44:56.730440,0:00:00
154.64.245.126,35150,yes,1,0,1,0,0,2024-06-22 17:44:56.733744,0:00:00
154.64.245.126,30871,yes,2,0,2,0,0,2024-06-22 17:44:56.736972,0:00:43.978353
154.64.245.126,13481,yes,1,0,1,0,0,2024-06-22 17:44:56.739846,0:00:00
154.64.245.126,38293,yes,1,0,1,0,0,2024-06-22 17:44:56.742535,0:00:00
154.64.245.126,7148,yes,1,0,1,0,0,2024-06-22 17:44:56.745196,0:00:00
154.64.245.126,65481,yes,1,0,1,0,0,2024-06-22 17:44:56.748752,0:00:00
154.64.245.126,53535,yes,1,0,1,0,0,2024-06-22 17:44:56.751504,0:00:00
154.64.245.126,32185,yes,1,0,1,0,0,2024-06-22 17:44:56.754394,0:00:00
154.64.245.126,21575,yes,1,0,1,0,0,2024-06-22 17:44:56.757589,0:00:00
154.64.245.126,62915,yes,1,0,1,0,0,2024-06-22 17:44:56.760588,0:00:00
154.64.245.126,19295,yes,1,0,1,0,0,2024-06-22 17:44:56.764252,0:00:00
154.64.245.126,36556,yes,1,0,1,0,0,2024-06-22 17:44:56.767100,0:00:00
154.64.245.126,10281,yes,2,0,2,0,0,2024-06-22 17:44:56.770736,0:00:23.954151
154.64.245.126,52833,yes,1,0,1,0,0,2024-06-22 17:44:56.774240,0:00:00
154.64.245.126,60769,yes,1,0,1,0,0,2024-06-22 17:44:56.778310,0:00:00
154.64.245.126,34803,yes,1,0,1,0,0,2024-06-22 17:44:56.781986,0:00:00
154.64.245.126,26042,yes,1,0,1,0,0,2024-06-22 17:44:56.785380,0:00:00
154.64.245.126,32057,yes,1,0,1,0,0,2024-06-22 17:44:56.789456,0:00:00
154.64.245.126,64029,yes,1,0,1,0,0,2024-06-22 17:44:56.792517,0:00:00
154.64.245.126,31267,yes,1,0,1,0,0,2024-06-22 17:44:56.796456,0:00:00
154.64.245.126,32651,yes,2,0,2,0,0,2024-06-22 17:44:56.800172,0:00:09.000387
154.64.245.126,9685,yes,1,0,1,0,0,2024-06-22 17:44:56.804126,0:00:00
154.64.245.126,43470,yes,1,0,1,0,0,2024-06-22 17:44:56.808051,0:00:00
154.64.245.126,8113,yes,1,0,1,0,0,2024-06-22 17:44:56.811566,0:00:00
154.64.245.126,29502,yes,1,0,1,0,0,2024-06-22 17:44:56.814682,0:00:00
154.64.245.126,38857,yes,1,0,1,0,0,2024-06-22 17:44:56.817938,0:00:00
154.64.245.126,24150,yes,1,0,1,0,0,2024-06-22 17:44:56.822105,0:00:00
154.64.245.126,57317,yes,1,0,1,0,0,2024-06-22 17:44:56.825680,0:00:00
154.64.245.126,50173,yes,1,0,1,0,0,2024-06-22 17:44:56.829219,0:00:00
154.64.245.126,4954,yes,1,0,1,0,0,2024-06-22 17:44:56.832517,0:00:00
154.64.245.126,57021,yes,1,0,1,0,0,2024-06-22 17:44:56.835257,0:00:00
154.64.245.126,32400,yes,1,0,1,0,0,2024-06-22 17:44:56.838926,0:00:00
154.64.245.126,62705,yes,2,0,2,0,0,2024-06-22 17:44:56.842658,0:00:26.993736
154.64.245.126,31901,yes,1,0,1,0,0,2024-06-22 17:44:56.846193,0:00:00
154.64.245.126,58640,yes,2,0,2,0,0,2024-06-22 17:44:56.849411,0:00:39.904731
154.64.245.126,5256,yes,1,0,1,0,0,2024-06-22 17:44:56.853055,0:00:00
154.64.245.126,14985,yes,1,0,1,0,0,2024-06-22 17:44:56.857508,0:00:00
154.64.245.126,19964,yes,1,0,1,0,0,2024-06-22 17:44:56.861351,0:00:00
154.64.245.126,36243,yes,1,0,1,0,0,2024-06-22 17:44:57.665745,0:00:00
154.64.245.126,5153,yes,1,0,1,0,0,2024-06-22 17:44:57.669169,0:00:00
154.64.245.126,16308,yes,1,0,1,0,0,2024-06-22 17:44:57.672333,0:00:00
154.64.245.126,56248,yes,1,0,1,0,0,2024-06-22 17:44:57.674473,0:00:00
154.64.245.126,48214,yes,2,0,2,0,0,2024-06-22 17:44:57.677354,0:00:25.160259
154.64.245.126,58552,yes,1,0,1,0,0,2024-06-22 17:44:57.680096,0:00:00
154.64.245.126,44638,yes,1,0,1,0,0,2024-06-22 17:44:57.682878,0:00:00
154.64.245.126,49852,yes,1,0,1,0,0,2024-06-22 17:44:57.685307,0:00:00
154.64.245.126,50980,yes,1,0,1,0,0,2024-06-22 17:44:57.687467,0:00:00
154.64.245.126,11880,yes,1,0,1,0,0,2024-06-22 17:44:57.689673,0:00:00
154.64.245.126,2757,yes,1,0,1,0,0,2024-06-22 17:44:57.692549,0:00:00
154.64.245.126,62434,yes,1,0,1,0,0,2024-06-22 17:44:57.695106,0:00:00
154.64.245.126,60920,yes,1,0,1,0,0,2024-06-22 17:44:57.697337,0:00:00
154.64.245.126,27341,yes,1,0,1,0,0,2024-06-22 17:44:57.699587,0:00:00
154.64.245.126,26169,yes,1,0,1,0,0,2024-06-22 17:44:57.701880,0:00:00
154.64.245.126,61025,yes,1,0,1,0,0,2024-06-22 17:44:57.703987,0:00:00
154.64.245.126,25847,yes,1,0,1,0,0,2024-06-22 17:44:57.706673,0:00:00
