attack_type,start_time,duration,src,target,protocol,src_port,dst_port,spoofed,packet_cnt,total_bytes,bot_id,cnc_ip,cnc_port
DP Attack,2024-06-26 17:53:36.318920,0:01:00.010232,,115.238.196.102,tcp,,,no,3204,2178720,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 17:58:29.318240,0:12:49.052133,,212.102.40.182,"udp,tcp",,,no,6666,4630320,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 19:15:22.441343,0:01:00.013519,,212.102.40.182,tcp,,,no,2569,1746920,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 20:06:55.326144,0:36:46.112520,,220.166.50.49,tcp,,,no,51215,34826200,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 20:06:55.326144,0:36:46.112520,,220.166.50.49,tcp,,,no,51215,34826200,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 20:06:55.326144,0:36:46.112520,,220.166.50.49,tcp,,,no,51215,34826200,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 20:06:55.326144,0:36:46.112520,,220.166.50.49,tcp,,,no,51215,34826200,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 20:06:55.326144,0:36:46.112520,,220.166.50.49,tcp,,,no,51215,34826200,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 20:06:55.326144,0:36:46.112520,,220.166.50.49,tcp,,,no,51215,34826200,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 20:06:55.326144,0:36:46.112520,,220.166.50.49,tcp,,,no,51215,34826200,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 19:56:38.334408,0:09:30.024494,,212.102.40.182,tcp,,,no,4667,3173560,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 17:49:47.440107,0:00:59.043276,,79.127.239.72,tcp,,,no,3120,2121600,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 18:21:26.330842,0:01:00.004637,,115.238.196.102,udp,,,no,3162,2238696,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 22:39:32.328952,0:15:30.984324,,212.102.40.182,"udp,tcp",,,no,7248,5000992,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 17:59:23.456336,0:00:59.982559,,43.155.8.87,udp,,,no,3108,2200464,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 18:11:47.310105,0:00:44.992646,,45.63.24.200,udp,,,no,2772,26300,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 18:14:09.318490,0:24:42.009290,,156.238.15.0/24,tcp,,,no,9576,6511680,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 18:36:49.324184,0:01:00.006397,,149.28.64.153,udp,,,no,2802,2170534,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 18:51:27.338323,0:00:59.986031,,121.5.90.169,udp,,,no,2562,2709001,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 19:32:00.338336,0:00:59.995353,,67.213.208.44,udp,,,no,2520,2664007,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 19:52:09.333615,0:00:09.972378,,149.28.254.69,udp,,,no,510,4835,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 20:01:31.326139,0:00:09.994080,,156.235.225.23,tcp,,,no,450,306000,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 21:31:42.325928,0:01:20.010652,,220.166.50.49,tcp,,,no,2161,1469480,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 20:15:59.354943,0:01:00.008892,,203.86.234.59,udp,,,no,1548,1633148,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 20:17:34.339003,0:00:59.996795,,43.249.194.250,udp,,,no,1764,1858757,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 20:18:01.375324,0:00:59.995891,,212.19.224.35,udp,,,no,1596,1683639,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 20:56:01.332512,0:00:59.981976,,45.77.51.128,udp,,,no,2898,27489,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 21:23:46.316474,0:00:09.992030,,45.77.236.107,udp,,,no,612,5803,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 21:36:40.328603,0:00:09.988879,,45.77.234.123,udp,,,no,510,4835,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 21:40:40.329345,0:00:59.992947,,43.135.89.67,udp,,,no,2082,1474056,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 21:50:54.338633,0:01:00.006239,,192.248.187.125,udp,,,no,2412,2549920,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 22:09:30.332216,0:00:59.985611,,212.19.225.10,udp,,,no,2226,1157520,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 22:38:07.352713,0:00:59.988139,,15.185.243.238,udp,,,no,3024,28681,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 22:42:11.335460,0:00:59.133797,,103.36.167.56,udp,,,no,2460,1741680,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
