cnc_ip,cnc_ready,cnc_port,cnc_status,cnc_update_at
152.89.244.142,True,33335,alive,2024-06-30 23:42:03.915996
152.89.244.142,True,33335,disconnected,2024-06-30 23:42:36.166872
152.89.244.142,True,33335,alive,2024-06-30 23:42:36.239291
152.89.244.142,True,33335,disconnected,2024-06-30 23:42:36.275407
152.89.244.142,True,33335,alive,2024-06-30 23:42:36.336187
152.89.244.142,True,33335,disconnected,2024-06-30 23:42:36.344969
152.89.244.142,True,33335,alive,2024-06-30 23:42:36.358786
152.89.244.142,True,33335,disconnected,2024-06-30 23:42:36.367535
152.89.244.142,True,33335,alive,2024-06-30 23:42:36.435595
152.89.244.142,True,33335,disconnected,2024-06-30 23:42:36.444260
152.89.244.142,True,33335,alive,2024-06-30 23:42:36.458837
152.89.244.142,True,33335,disconnected,2024-06-30 23:43:07.025404
152.89.244.142,True,33335,alive,2024-06-30 23:43:07.048036
152.89.244.142,True,33335,disconnected,2024-06-30 23:43:07.056662
152.89.244.142,True,33335,alive,2024-06-30 23:43:07.070202
152.89.244.142,True,33335,disconnected,2024-06-30 23:43:07.078614
152.89.244.142,True,33335,alive,2024-06-30 23:43:07.093027
152.89.244.142,True,33335,disconnected,2024-06-30 23:43:07.101637
152.89.244.142,True,33335,alive,2024-06-30 23:43:07.115298
152.89.244.142,True,33335,disconnected,2024-06-30 23:43:21.836522
152.89.244.142,True,33335,alive,2024-06-30 23:43:21.859209
152.89.244.142,True,33335,disconnected,2024-06-30 23:43:21.867894
152.89.244.142,True,33335,alive,2024-06-30 23:43:21.882311
152.89.244.142,True,33335,disconnected,2024-06-30 23:43:21.892404
152.89.244.142,True,33335,alive,2024-06-30 23:43:21.909937
