cnc_ip,cnc_ready,cnc_port,cnc_status,cnc_update_at
142.250.74.228,True,443,alive,2024-06-30 23:59:33.378240
142.250.74.228,True,443,disconnected,2024-06-30 23:59:33.400990
142.250.74.228,True,443,alive,2024-06-30 23:59:33.420475
142.250.74.228,True,443,disconnected,2024-06-30 23:59:33.442801
142.250.74.228,True,443,alive,2024-06-30 23:59:33.466384
142.250.74.228,True,443,disconnected,2024-06-30 23:59:33.488525
142.250.74.228,True,443,alive,2024-06-30 23:59:33.511747
142.250.74.228,True,443,disconnected,2024-06-30 23:59:33.534507
142.250.74.228,True,443,alive,2024-06-30 23:59:33.562012
142.250.74.228,True,443,disconnected,2024-06-30 23:59:33.584354
142.250.74.228,True,443,alive,2024-06-30 23:59:33.608397
142.250.74.228,True,443,disconnected,2024-06-30 23:59:33.630562
142.250.74.228,True,443,alive,2024-06-30 23:59:33.660840
142.250.74.228,True,443,disconnected,2024-06-30 23:59:33.683241
142.250.74.228,True,443,alive,2024-06-30 23:59:33.706737
142.250.74.228,True,443,disconnected,2024-06-30 23:59:33.728782
142.250.74.228,True,443,alive,2024-06-30 23:59:33.752007
142.250.74.228,True,443,disconnected,2024-06-30 23:59:33.774416
142.250.74.228,True,443,alive,2024-06-30 23:59:33.797821
142.250.74.228,True,443,disconnected,2024-06-30 23:59:33.820206
142.250.74.228,True,443,alive,2024-06-30 23:59:33.843454
142.250.74.228,True,443,disconnected,2024-06-30 23:59:33.865873
142.250.74.228,True,443,alive,2024-06-30 23:59:33.889230
142.250.74.228,True,443,disconnected,2024-06-30 23:59:33.911558
142.250.74.228,True,443,alive,2024-06-30 23:59:33.935066
142.250.74.228,True,443,disconnected,2024-06-30 23:59:33.957671
142.250.74.228,True,443,alive,2024-06-30 23:59:33.981515
142.250.74.228,True,443,disconnected,2024-06-30 23:59:34.003455
142.250.74.228,True,443,alive,2024-06-30 23:59:34.027312
142.250.74.228,True,443,disconnected,2024-06-30 23:59:34.049289
142.250.74.228,True,443,alive,2024-06-30 23:59:34.072169
142.250.74.228,True,443,disconnected,2024-06-30 23:59:34.094178
142.250.74.228,True,443,alive,2024-06-30 23:59:34.119783
142.250.74.228,True,443,disconnected,2024-06-30 23:59:34.141126
142.250.74.228,True,443,alive,2024-06-30 23:59:34.164528
142.250.74.228,True,443,disconnected,2024-06-30 23:59:34.186705
142.250.74.228,True,443,alive,2024-06-30 23:59:34.209548
142.250.74.228,True,443,disconnected,2024-06-30 23:59:34.231258
142.250.74.228,True,443,alive,2024-06-30 23:59:34.250598
142.250.74.228,True,443,disconnected,2024-06-30 23:59:34.272644
142.250.74.228,True,443,alive,2024-06-30 23:59:34.295984
142.250.74.228,True,443,disconnected,2024-06-30 23:59:34.317727
142.250.74.228,True,443,alive,2024-06-30 23:59:34.340121
142.250.74.228,True,443,disconnected,2024-06-30 23:59:34.362347
142.250.74.228,True,443,alive,2024-06-30 23:59:34.388288
142.250.74.228,True,443,disconnected,2024-06-30 23:59:34.411089
142.250.74.228,True,443,alive,2024-06-30 23:59:34.435282
142.250.74.228,True,443,disconnected,2024-06-30 23:59:34.457649
