attack_type,start_time,duration,src,target,protocol,src_port,dst_port,spoofed,packet_cnt,total_bytes,bot_id,cnc_ip,cnc_port
DP Attack,2024-06-24 11:08:30.668995,0:03:18.843611,,181.215.172.29,udp,,,no,10506,15422808,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-24 11:10:30.438052,0:01:01.902599,,24.122.78.97,dns,,,no,3882,4006224,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-24 11:13:23.513580,0:01:00.825556,,73.194.159.77,dns,,,no,6210,6408720,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-24 11:15:48.523427,0:01:00.803085,,73.238.40.17,dns,,,no,6246,6445872,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-24 11:16:59.397575,0:01:02.913251,,74.98.164.119,dns,,,no,4968,5126976,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-24 11:21:02.084684,0:01:01.251063,,174.235.48.143,udp,,,no,6336,6538752,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-24 11:22:41.929531,0:01:01.394795,,68.61.76.101,udp,,,no,6432,6637824,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-24 11:25:47.366577,0:01:00.970769,,24.187.99.53,dns,,,no,5256,5424192,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-24 11:43:33.716675,0:05:08.594114,,35.196.234.36,udp,,,no,7632,7876224,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-24 12:49:41.496547,0:01:03.863954,,152.89.244.170,dns,,,no,2166,2235312,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-24 13:27:09.569999,0:04:53.944406,,35.238.93.204,udp,,,no,11370,11733840,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-24 13:36:39.457586,0:01:00.888941,,74.141.100.229,udp,,,no,5694,5876208,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-24 14:13:18.811194,0:02:14.540810,,217.20.242.57,udp,,,no,11472,11839104,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-24 15:14:58.462132,0:01:00.051456,,135.148.25.152,udp,,,no,5628,5808096,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
