cnc_ip,cnc_ready,cnc_port,cnc_status,cnc_update_at
216.146.27.222,True,5220,alive,2024-06-30 22:49:15.021205
216.146.27.222,True,5220,disconnected,2024-06-30 22:49:15.247642
216.146.27.222,True,5220,alive,2024-06-30 22:49:15.257697
216.146.27.222,True,5220,disconnected,2024-06-30 22:49:15.405930
216.146.27.222,True,5220,alive,2024-06-30 22:49:15.414999
216.146.27.222,True,5220,disconnected,2024-06-30 22:49:15.631309
216.146.27.222,True,5220,alive,2024-06-30 22:49:15.643628
216.146.27.222,True,5220,disconnected,2024-06-30 22:49:15.872466
216.146.27.222,True,5220,alive,2024-06-30 22:49:15.883110
216.146.27.222,True,5220,disconnected,2024-06-30 22:49:16.120648
216.146.27.222,True,5220,alive,2024-06-30 22:49:16.132104
216.146.27.222,True,5220,disconnected,2024-06-30 22:49:16.368134
216.146.27.222,True,5220,alive,2024-06-30 22:49:16.379205
216.146.27.222,True,5220,disconnected,2024-06-30 22:49:16.620416
216.146.27.222,True,5220,alive,2024-06-30 22:49:16.631041
216.146.27.222,True,5220,disconnected,2024-06-30 22:49:16.871185
216.146.27.222,True,5220,alive,2024-06-30 22:49:16.880380
216.146.27.222,True,5220,disconnected,2024-06-30 22:49:17.147993
216.146.27.222,True,5220,alive,2024-06-30 22:49:17.158133
216.146.27.222,True,5220,disconnected,2024-06-30 22:49:17.432522
216.146.27.222,True,5220,alive,2024-06-30 22:49:17.443875
216.146.27.222,True,5220,disconnected,2024-06-30 22:49:17.768123
216.146.27.222,True,5220,alive,2024-06-30 22:49:17.780648
216.146.27.222,True,5220,disconnected,2024-06-30 22:49:18.024142
216.146.27.222,True,5220,alive,2024-06-30 22:49:18.035343
216.146.27.222,True,5220,disconnected,2024-06-30 22:49:18.265360
216.146.27.222,True,5220,alive,2024-06-30 22:49:18.275928
216.146.27.222,True,5220,disconnected,2024-06-30 22:49:18.508877
216.146.27.222,True,5220,alive,2024-06-30 22:49:18.518315
216.146.27.222,True,5220,disconnected,2024-06-30 22:49:18.741234
216.146.27.222,True,5220,alive,2024-06-30 22:49:18.751806
216.146.27.222,True,5220,disconnected,2024-06-30 22:49:18.980427
216.146.27.222,True,5220,alive,2024-06-30 22:49:18.989675
216.146.27.222,True,5220,disconnected,2024-06-30 22:49:19.213299
216.146.27.222,True,5220,alive,2024-06-30 22:49:19.223198
216.146.27.222,True,5220,disconnected,2024-06-30 22:49:19.454425
216.146.27.222,True,5220,alive,2024-06-30 22:49:19.463924
216.146.27.222,True,5220,disconnected,2024-06-30 22:49:19.688317
216.146.27.222,True,5220,alive,2024-06-30 22:49:19.702616
216.146.27.222,True,5220,disconnected,2024-06-30 22:49:19.928872
216.146.27.222,True,5220,alive,2024-06-30 22:49:19.938482
216.146.27.222,True,5220,disconnected,2024-06-30 22:49:20.182568
216.146.27.222,True,5220,alive,2024-06-30 22:49:20.194005
216.146.27.222,True,5220,disconnected,2024-06-30 22:49:20.445040
216.146.27.222,True,5220,alive,2024-06-30 22:49:20.455958
216.146.27.222,True,5220,disconnected,2024-06-30 22:49:20.697622
216.146.27.222,True,5220,alive,2024-06-30 22:49:20.707679
216.146.27.222,True,5220,disconnected,2024-06-30 22:49:20.938547
216.146.27.222,True,5220,alive,2024-06-30 22:49:20.948632
216.146.27.222,True,5220,disconnected,2024-06-30 22:49:21.158871
216.146.27.222,True,5220,alive,2024-06-30 22:49:21.171315
216.146.27.222,True,5220,disconnected,2024-06-30 22:49:21.489304
216.146.27.222,True,5220,alive,2024-06-30 22:49:21.499938
216.146.27.222,True,5220,disconnected,2024-06-30 22:49:21.702115
216.146.27.222,True,5220,alive,2024-06-30 22:49:21.716805
