cnc_ip,cnc_ready,cnc_port,cnc_status,cnc_update_at
213.202.208.9,True,56744,alive,2024-06-30 23:21:21.148811
213.202.208.9,True,56744,disconnected,2024-06-30 23:21:21.687916
213.202.208.9,True,56744,alive,2024-06-30 23:21:21.708334
213.202.208.9,True,56744,disconnected,2024-06-30 23:21:23.751245
213.202.208.9,True,56744,alive,2024-06-30 23:21:23.760080
213.202.208.9,True,56744,disconnected,2024-06-30 23:21:23.993111
213.202.208.9,True,56744,alive,2024-06-30 23:21:24.013308
213.202.208.9,True,56744,disconnected,2024-06-30 23:21:24.044841
213.202.208.9,True,56744,alive,2024-06-30 23:21:24.063926
213.202.208.9,True,56744,disconnected,2024-06-30 23:21:24.305870
213.202.208.9,True,56744,alive,2024-06-30 23:21:24.326342
213.202.208.9,True,56744,disconnected,2024-06-30 23:21:24.390316
213.202.208.9,True,56744,alive,2024-06-30 23:21:24.404328
213.202.208.9,True,56744,disconnected,2024-06-30 23:21:25.639493
213.202.208.9,True,56744,alive,2024-06-30 23:21:25.653042
213.202.208.9,True,56744,disconnected,2024-06-30 23:21:27.341066
213.202.208.9,True,56744,alive,2024-06-30 23:21:27.359689
213.202.208.9,True,56744,disconnected,2024-06-30 23:21:27.842200
213.202.208.9,True,56744,alive,2024-06-30 23:21:27.851924
213.202.208.9,True,56744,disconnected,2024-06-30 23:21:27.868678
213.202.208.9,True,56744,alive,2024-06-30 23:21:27.879861
213.202.208.9,True,56744,disconnected,2024-06-30 23:21:28.074395
213.202.208.9,True,56744,alive,2024-06-30 23:21:28.088304
213.202.208.9,True,56744,disconnected,2024-06-30 23:21:28.102682
213.202.208.9,True,56744,alive,2024-06-30 23:21:28.121074
213.202.208.9,True,56744,disconnected,2024-06-30 23:21:29.112463
213.202.208.9,True,56744,alive,2024-06-30 23:21:29.123907
213.202.208.9,True,56744,disconnected,2024-06-30 23:21:29.775068
213.202.208.9,True,56744,alive,2024-06-30 23:21:29.783715
213.202.208.9,True,56744,disconnected,2024-06-30 23:21:31.157698
213.202.208.9,True,56744,alive,2024-06-30 23:21:31.166165
213.202.208.9,True,56744,disconnected,2024-06-30 23:21:31.689771
213.202.208.9,True,56744,alive,2024-06-30 23:21:31.705263
213.202.208.9,True,56744,disconnected,2024-06-30 23:21:31.717196
213.202.208.9,True,56744,alive,2024-06-30 23:21:31.731645
213.202.208.9,True,56744,disconnected,2024-06-30 23:21:31.763017
213.202.208.9,True,56744,alive,2024-06-30 23:21:31.779870
213.202.208.9,True,56744,disconnected,2024-06-30 23:21:31.883675
213.202.208.9,True,56744,alive,2024-06-30 23:21:31.909681
213.202.208.9,True,56744,disconnected,2024-06-30 23:21:33.021558
213.202.208.9,True,56744,alive,2024-06-30 23:21:33.042269
213.202.208.9,True,56744,disconnected,2024-06-30 23:21:34.825330
213.202.208.9,True,56744,alive,2024-06-30 23:21:34.834017
213.202.208.9,True,56744,disconnected,2024-06-30 23:21:35.110863
213.202.208.9,True,56744,alive,2024-06-30 23:21:35.119385
213.202.208.9,True,56744,disconnected,2024-06-30 23:21:35.154437
213.202.208.9,True,56744,alive,2024-06-30 23:21:35.163270
213.202.208.9,True,56744,disconnected,2024-06-30 23:21:35.241635
213.202.208.9,True,56744,alive,2024-06-30 23:21:35.260595
213.202.208.9,True,56744,disconnected,2024-06-30 23:21:35.321414
213.202.208.9,True,56744,alive,2024-06-30 23:21:35.341787
213.202.208.9,True,56744,disconnected,2024-06-30 23:21:35.355595
213.202.208.9,True,56744,alive,2024-06-30 23:21:35.364817
213.202.208.9,True,56744,disconnected,2024-06-30 23:21:36.727260
213.202.208.9,True,56744,alive,2024-06-30 23:21:36.745820
213.202.208.9,True,56744,disconnected,2024-06-30 23:21:37.266094
213.202.208.9,True,56744,alive,2024-06-30 23:21:37.286801
213.202.208.9,True,56744,disconnected,2024-06-30 23:21:38.850158
213.202.208.9,True,56744,alive,2024-06-30 23:21:38.860554
213.202.208.9,True,56744,disconnected,2024-06-30 23:21:39.099684
213.202.208.9,True,56744,alive,2024-06-30 23:21:39.123297
213.202.208.9,True,56744,disconnected,2024-06-30 23:21:39.441308
213.202.208.9,True,56744,alive,2024-06-30 23:21:39.451072
213.202.208.9,True,56744,disconnected,2024-06-30 23:21:39.494782
213.202.208.9,True,56744,alive,2024-06-30 23:21:39.510671
213.202.208.9,True,56744,disconnected,2024-06-30 23:21:40.737298
213.202.208.9,True,56744,alive,2024-06-30 23:21:40.750423
213.202.208.9,True,56744,disconnected,2024-06-30 23:21:41.412111
213.202.208.9,True,56744,alive,2024-06-30 23:21:41.421212
213.202.208.9,True,56744,disconnected,2024-06-30 23:21:42.436525
